"Source: Parline database on national parliaments (https://data.ipu.org).","",""
"Copyright: Inter-Parliamentary Union. Terms of use: https://www.ipu.org/terms-use","",""
"Field name: Percentage of women","",""
"Reference year: 1989","",""
"Exported on: 2019-12-28","",""
"","",""
"Country","Chamber","Percentage of women"
"Afghanistan","House of the People","2.98"
"Algeria","National People's Assembly","2.37"
"Angola","National Assembly","14.53"
"Antigua and Barbuda","House of Representatives","0"
"Argentina","Chamber of Deputies","6.3"
"Australia","House of Representatives","6.08"
"Austria","National Council","11.48"
"Bahamas","House of Assembly","4.08"
"Bangladesh","Parliament","10.3"
"Barbados","House of Assembly","3.7"
"Belgium","House of Representatives","8.49"
"Belize","House of Representatives","0"
"Benin","National Assembly","2.93"
"Bhutan","National Assembly","2"
"Bolivia (Plurinational State of)","Chamber of Deputies","9.23"
"Botswana","National Assembly","5"
"Brazil","Chamber of Deputies","5.34"
"Bulgaria","National Assembly","21"
"Cabo Verde","National Assembly","12.05"
"Cambodia","National Assembly","21.37"
"Cameroon","National Assembly","14.44"
"Canada","House of Commons","13.22"
"Central African Republic","National Assembly","3.85"
"China","National People's Congress","21.29"
"Colombia","House of Representatives","4.52"
"Comoros","Assembly of the Union","0"
"Congo","National Assembly","14.29"
"Costa Rica","Legislative Assembly","10.53"
"Côte d'Ivoire","National Assembly","5.71"
"Cuba","National Assembly of the People's Power","33.92"
"Cyprus","House of Representatives","1.79"
"Democratic People's Republic of Korea","Supreme People's Assembly","21.07"
"Democratic Republic of the Congo","National Assembly","5.41"
"Denmark","The Danish Parliament","30.73"
"Djibouti","National Assembly","0"
"Dominica","House of Assembly","10"
"Dominican Republic","Chamber of Deputies","7.5"
"Ecuador","National Assembly","4.48"
"Egypt","House of Representatives","3.93"
"El Salvador","Legislative Assembly","11.67"
"Equatorial Guinea","Chamber of Deputies","13.33"
"Eswatini","House of Assembly","3.64"
"Ethiopia","House of Peoples' Representatives","0.12"
"Finland","Parliament","31.5"
"France","National Assembly","6.93"
"Gabon","National Assembly","13.33"
"Gambia (The)","National Assembly","7.84"
"Greece","Hellenic Parliament","4"
"Grenada","House of Representatives","12.5"
"Guatemala","Congress of the Republic","7"
"Guinea-Bissau","People's National Assembly","20"
"Honduras","National Congress","10.16"
"Hungary","National Assembly","20.73"
"Iceland","Parliament","20.63"
"India","House of the People","4.99"
"Indonesia","House of Representatives","12.4"
"Iran (Islamic Republic of)","Islamic Parliament of Iran","1.48"
"Iraq","Council of Representatives of Iraq","10.8"
"Ireland","House of Representatives","7.83"
"Israel","Parliament","6.67"
"Italy","Chamber of Deputies","12.86"
"Jamaica","House of Representatives","5"
"Japan","House of Representatives","1.37"
"Jordan","House of Representatives","0"
"Kenya","National Assembly","1.06"
"Kiribati","House of Assembly","0"
"Lao People's Democratic Republic","National Assembly","6.33"
"Lebanon","National Assembly","0"
"Liechtenstein","Diet","4"
"Luxembourg","Chamber of Deputies","13.33"
"Madagascar","National Assembly","6.52"
"Malawi","National Assembly","9.82"
"Malaysia","House of Representatives","5.08"
"Maldives","People's Majlis","6.25"
"Mali","National Assembly","6.1"
"Malta","House of Representatives","2.9"
"Mauritius","National Assembly","7.14"
"Mexico","Chamber of Deputies","12"
"Monaco","National Council","11.11"
"Mongolia","State Great Hural","24.86"
"Morocco","House of Representatives","0"
"Mozambique","Assembly of the Republic","15.66"
"Nauru","Parliament","5.56"
"Nepal","House of Representatives","5.88"
"Netherlands","House of Representatives","21.33"
"New Zealand","House of Representatives","14.43"
"Niger","National Assembly","5.38"
"Norway","Parliament","35.76"
"Pakistan","National Assembly","10.13"
"Panama","National Assembly","7.46"
"Papua New Guinea","National Parliament","0"
"Paraguay","Chamber of Deputies","5.56"
"Peru","Congress of the Republic","5.56"
"Philippines","House of Representatives","9.09"
"Poland","Sejm","13.48"
"Portugal","Assembly of the Republic","7.6"
"Republic of Korea","National Assembly","2.01"
"Romania","Chamber of Deputies","34.42"
"Rwanda","Chamber of Deputies","17.14"
"Saint Kitts and Nevis","National Assembly","6.67"
"Saint Lucia","House of Assembly","0"
"Saint Vincent and the Grenadines","House of Assembly","9.52"
"Samoa","Legislative Assembly","2.13"
"San Marino","Great and General Council","11.67"
"Sao Tome and Principe","National Assembly","11.76"
"Senegal","National Assembly","12.5"
"Seychelles","National Assembly","16"
"Singapore","Parliament","4.88"
"Solomon Islands","National Parliament","0"
"Somalia","House of the People","3.95"
"South Africa","National Assembly","2.22"
"Spain","Congress of Deputies","14.57"
"Sri Lanka","Parliament","4.91"
"Suriname","National Assembly","7.84"
"Sweden","Parliament","38.4"
"Switzerland","National Council","14"
"Syrian Arab Republic","People's Assembly","9.23"
"Thailand","House of Representatives","2.8"
"Togo","National Assembly","5.19"
"Tonga","Legislative Assembly","0"
"Trinidad and Tobago","House of Representatives","16.67"
"Tunisia","Assembly of People's Representatives","4.26"
"Turkey","Grand National Assembly of Turkey","1.33"
"Tuvalu","Parliament of Tuvalu","7.69"
"Uganda","Parliament","12.23"
"United Arab Emirates","Federal National Council","0"
"United Kingdom","House of Commons","6.31"
"United States of America","House of Representatives","6.59"
"Uruguay","House of Representatives","6.06"
"Vanuatu","Parliament","4.35"
"Venezuela (Bolivarian Republic of)","National Assembly","9.949999999999999"
"Viet Nam","National Assembly","17.74"
"Zambia","National Assembly","6.62"
"Zimbabwe","National Assembly","11"
