"Source: Parline database on national parliaments (https://data.ipu.org).","",""
"Copyright: Inter-Parliamentary Union. Terms of use: https://www.ipu.org/terms-use","",""
"Field name: Current number of members","",""
"Reference year: 1984","",""
"Exported on: 2019-12-30","",""
"","",""
"Country","Chamber","Current number of members"
"Antigua and Barbuda","Senate","17"
"Argentina","Senate","46"
"Australia","Senate","76"
"Austria","Federal Council","61"
"Bahamas","Senate","16"
"Barbados","Senate","21"
"Belgium","Senate","181"
"Belize","Senate","10"
"Bolivia (Plurinational State of)","Chamber of Senators","27"
"Brazil","Federal Senate","69"
"Canada","Senate","101"
"Colombia","Senate","114"
"Dominican Republic","Senate","27"
"Eswatini","Senat","20"
"France","Senate","317"
"Grenada","Senate","13"
"India","Council of States","244"
"Ireland","Senate","60"
"Italy","Senate","324"
"Jamaica","Senate","21"
"Japan","House of Councillors","249"
"Jordan","Senate","30"
"Malaysia","Senate","53"
"Mexico","Senate","64"
"Netherlands","Senate","75"
"Pakistan","Senate","63"
"Paraguay","Senate","30"
"Saint Lucia","Senate","11"
"Spain","Senate","256"
"Switzerland","Council of States","46"
"Trinidad and Tobago","Senate","31"
"United States of America","Senate","100"
"Uruguay","Senate","30"
"Zimbabwe","Senate","40"
