"","","","","Mid-year 1991 ","Mid-year 1992 ","Mid-year 1993 ","Mid-year 1994 ","Mid-year 1995 ","Mid-year 1996 ","Mid-year 1997 ","Mid-year 1998 ","Mid-year 1999 ","Mid-year 2000 ","Mid-year 2001 ","Mid-year 2002 ","Mid-year 2003 ","Mid-year 2004 ","Mid-year 2005 ","Mid-year 2006 ","Mid-year 2007 ","Mid-year 2008 ","Mid-year 2009 ","Mid-year 2010 ","Mid-year 2011 ","Mid-year 2012 ","Mid-year 2013 ","Mid-year 2014 ","Mid-year 2015 ","Mid-year 2016 ","Mid-year 2017 ","Mid-year 2018 "
"United Kingdom ","","","",57438658,57584530,57713889,57862145,58024799,58164374,58314249,58474943,58684427,58886065,59113016,59365677,59636662,59950364,60413276,60827067,61319075,61823772,62260486,62759456,63285145,63705030,64105654,64596752,65110034,65648054,66040229,66435550
"United Kingdom ","Great Britain ","","",55831363,55961267,56078337,56218438,56375668,56502623,56642988,56797174,57005421,57203121,57424178,57668143,57931738,58236322,58685543,59083954,59557392,60044620,60467153,60954623,61470827,61881396,62275929,62756254,63258413,63785917,64169395,64553909
"","Great Britain ","England ","",47875035,47997973,48102319,48228781,48383461,48519129,48664777,48820583,49032872,49233311,49449746,49679267,49925517,50194600,50606034,50965186,51381093,51815853,52196381,52642452,53107169,53493729,53865817,54316618,54786327,55268067,55619430,55977178
"","","Wales ","",2872998,2877674,2883558,2887447,2888517,2891304,2894871,2899521,2900599,2906870,2910232,2922876,2937721,2957422,2969309,2985668,3006299,3025867,3038872,3049971,3063758,3074067,3082412,3092036,3099086,3113150,3125165,3138631
"","","Wales ","Isle of Anglesey ",69123,69379,69772,69187,68426,68592,68109,67692,67978,67898,67806,67879,68140,68753,69095,69388,69700,69916,69884,69833,69913,70037,70073,70141,69936,69665,69794,69961
"","","","Gwynedd ",115007,115426,115717,116330,117526,117486,117606,117384,116362,116699,116844,117344,118022,118721,118641,119070,119398,119746,120344,121155,121523,122007,121653,121897,122635,123323,123742,124178
"","","","Conwy ",107951,107782,108142,108891,108940,107897,108174,108470,108322,108651,109674,110624,111248,112272,112374,113004,113778,114371,114623,114682,115326,115553,115912,116420,116450,116820,116863,117181
"","","","Denbighshire ",89395,89119,89375,89572,89911,90623,90616,90951,91509,92525,93070,93478,93872,94010,93978,93983,94530,94739,94444,94152,93919,94053,94518,94837,94836,94984,95159,95330
"","","","Flintshire ",142036,143493,144049,144539,144844,144106,144643,146261,146824,147930,148629,148947,149176,149681,149890,150125,150816,151501,151985,152080,152666,152776,153223,153819,154085,154626,155155,155593
"","","","Wrexham ",124180,124627,124949,125298,125431,125527,125637,126178,126907,127653,128540,128595,128914,129005,129249,130311,131263,132371,133295,134009,135070,135498,135801,135953,135418,135408,135571,136126
