date,min_level,avg_level,max_level
2017-04-01,0.560,0.683,0.850
2017-04-02,0.430,0.463,0.500
2017-04-03,0.370,0.390,0.410
2017-04-04,0.340,0.352,0.360
2017-04-05,0.300,0.311,0.320
2017-04-06,0.271,0.280,0.289
2017-04-07,0.251,0.257,0.264
2017-04-08,0.233,0.238,0.243
2017-04-09,0.214,0.220,0.225
2017-04-10,0.197,0.202,0.207
2017-04-11,0.183,0.187,0.191
2017-04-12,0.170,0.174,0.178
2017-04-13,0.161,0.164,0.167
2017-04-14,0.150,0.153,0.156
2017-04-15,0.148,0.153,0.159
2017-04-16,0.135,0.138,0.143
2017-04-17,0.137,0.140,0.143
2017-04-18,0.120,0.124,0.130
2017-04-19,0.110,0.113,0.116
2017-04-20,0.106,0.107,0.108
2017-04-21,0.098,0.100,0.103
2017-04-22,0.093,0.094,0.096
2017-04-23,0.085,0.087,0.090
2017-04-24,0.080,0.081,0.082
2017-04-25,0.074,0.075,0.077
2017-04-26,0.066,0.069,0.071
2017-04-27,0.059,0.061,0.064
2017-04-28,0.055,0.056,0.057
2017-04-29,0.048,0.051,0.053
2017-04-30,0.042,0.046,0.057
2017-05-01,0.046,0.054,0.062
2017-05-02,0.050,0.054,0.058
2017-05-03,0.036,0.041,0.046
2017-05-04,0.028,0.031,0.035
2017-05-05,0.015,0.020,0.024
2017-05-06,0.009,0.010,0.012
2017-05-07,0.007,0.009,0.010
2017-05-08,0.003,0.005,0.007
2017-05-09,-0.007,-0.003,0.000
2017-05-10,-0.021,-0.015,-0.013
2017-05-11,-0.025,-0.019,0.010
2017-05-12,-0.004,0.012,0.021
2017-05-13,0.003,0.009,0.018
2017-05-14,0.029,0.037,0.049
2017-05-15,0.024,0.031,0.044
2017-05-16,0.055,0.254,0.439
2017-05-17,0.189,0.213,0.262
2017-05-18,0.116,0.140,0.167
2017-05-19,0.081,0.089,0.102
2017-05-20,0.065,0.067,0.072
2017-05-21,0.050,0.058,0.062
2017-05-22,0.031,0.036,0.042
2017-05-23,0.014,0.019,0.025
2017-05-24,0.002,0.006,0.009
2017-05-25,-0.016,-0.009,-0.003
2017-05-26,-0.029,-0.026,-0.021
2017-05-27,-0.025,-0.016,0.021
2017-05-28,-0.015,-0.011,0.013
2017-05-29,-0.029,-0.027,-0.023
2017-05-30,-0.032,-0.030,-0.028
2017-05-31,-0.032,-0.031,-0.030
2017-06-01,-0.036,-0.035,-0.035
2017-06-02,-0.045,-0.043,-0.040
2017-06-03,-0.051,-0.049,-0.048
2017-06-04,-0.054,-0.049,-0.045
2017-06-05,-0.045,0.029,0.349
2017-06-06,0.294,0.486,0.691
2017-06-07,0.149,0.175,0.228
2017-06-08,0.145,0.397,0.718
2017-06-09,0.316,0.358,0.392
2017-06-10,0.254,0.295,0.616
2017-06-11,0.312,0.404,0.558
2017-06-12,0.228,0.255,0.279
