name,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4
Ruby,18117,19325,23998,34510,37890,40999,47739,60698,65632,73109,79569,98196,101633,110661,130595,149918,113169,102638,103516,97534,113309,91916,86499,86178,66282,61902,63891,68551,46618,63339,77548
Python,16557,19538,22988,32238,40260,47380,56006,70108,80016,88466,97203,130483,148792,170900,182989,208898,219173,214755,218637,229442,264327,207040,191596,206444,164917,172595,171912,189576,131829,184191,200388
JavaScript,16411,20283,22485,33897,39445,48213,61846,84127,97564,115824,129554,171489,198108,236531,299806,382098,409880,406803,419758,383738,422653,294029,269903,293753,226322,208604,200345,213079,147523,219158,231046
PHP,14460,17828,19447,27349,29883,32394,39575,52273,51994,59340,61996,84324,88083,96536,109261,124693,117909,107220,113295,110171,115413,87687,84800,78014,58739,55201,57610,59182,40841,54651,60184
Java,8006,10093,13383,19844,20330,24520,32160,41225,48396,53975,64415,87660,104720,114794,131888,153424,156057,142912,157863,149556,178148,133103,121744,127496,100171,98312,96310,110208,77615,111865,116024
C++,4879,5900,6929,8467,11076,13640,17599,24408,28633,33687,38832,46080,50167,58829,62678,74533,76601,76058,78706,84767,98572,83184,80560,82228,71762,71430,66636,78236,53706,76087,78184
C,4217,5665,7174,8731,9514,11128,14067,18942,19592,21453,24306,32060,37462,42676,46466,51259,50174,48509,52839,50041,51213,45938,45143,36995,29802,30095,32015,35860,23623,34479,33655
C#,1866,1975,2480,3682,4705,5292,7542,8297,10917,12087,14295,25029,30272,34921,42445,46417,49308,48241,51605,60393,66193,43188,41241,43201,33848,34150,32948,39136,29629,41093,41372
Scala,1848,2439,2103,2933,2822,3455,4008,6052,6024,7318,8139,10370,11307,12781,13786,17065,18378,19747,20555,21270,24444,20343,18150,17995,14461,14538,13844,15667,10696,19414,18850
Objective-C,1674,1925,2333,3720,4375,5137,6770,8806,9155,9198,9130,12278,14425,16625,17711,20137,16300,14507,15089,13559,13980,10852,10242,7403,6486,6487,4979,5655,3908,5944,5680
HTML,1272,1703,2103,3437,4310,5576,8423,12014,15689,19455,21826,34311,42444,55588,60793,74984,72739,65826,71040,62878,73382,48462,42283,43461,33845,28629,29777,27504,18612,26099,32768
CSS,622,756,1046,1919,2591,4603,7024,10082,12379,13290,15474,20460,22798,30240,32462,42292,38825,35305,36360,33438,42013,22060,21257,20273,15720,17821,18234,18043,12849,13770,16670
Go,324,572,833,1343,2379,3746,5180,7043,10520,16232,18899,26849,37144,47880,55300,69108,70492,71598,76183,90068,102468,90599,82244,92626,77189,78708,76172,85051,58619,95063,94476
TypeScript,101,NA,293,681,1043,1474,1453,2066,2693,4395,4718,7103,11148,11877,14529,19977,25551,30808,36795,42166,57093,44131,40946,61535,48349,45174,48566,55594,40100,64853,71242
