"Object","Close-Approach (CA) Date","CA Distance Nominal (LD | au)","CA Distance Minimum (LD | au)","V relative (km/s)","V infinity (km/s)","H (mag)","Estimated Diameter",""
"(2012 HG2)","2047-Feb-12 22:18 ±    14:25","0.37 | 0.00096","1e-4 | 3.04e-7","4.11","3.37","27.0","11 m -   24 m","bK12H02G"
"(2010 RF12)","2095-Sep-06 00:05 ±    02:38","0.08 | 0.00020","4e-3 | 9.52e-6","7.25","5.11","28.4","5.6 m -   12 m","bK10R12F"
"(2019 DS1)","2082-Feb-26 18:38 ± 2_11:26","0.44 | 0.00113","1e-2 | 2.45e-5","10.67","10.45","25.6","20 m -   45 m","bK19D01S"
"(2020 BK3)","2091-Jan-21 00:12 ± 6_07:50","0.76 | 0.00194","0.01 | 3.65e-5","10.56","10.43","26.9","11 m -   24 m","bK20B03K"
"(2014 HB177)","1974-May-07 00:40 ± 5_15:32","0.92 | 0.00236",">  0.02 | 4.28e-5","6.21","6.03","28.1","6.4 m -   14 m","bK14HH7B"
"(2004 FU162)","2004-Mar-31 15:35 ±    01:32","0.03 | 8.63e-5",">  0.02 | 4.28e-5","13.39","10.84","28.7","4.8 m -   11 m","bK04FG2U"
"(2018 DN4)","2018-Feb-24 15:17 ±    04:43","0.55 | 0.00141","0.02 | 4.53e-5","18.12","18.01","28.4","5.5 m -   12 m","bK18D04N"
"(2019 NB7)","2174-Jul-16 16:51 ± 6_07:18","0.66 | 0.00168","0.02 | 5.43e-5","12.91","12.79","27.4","8.8 m -   20 m","bK19N07B"
"(2009 VZ39)","2009-Nov-12 18:46 ± 6_02:08","0.68 | 0.00174","0.02 | 5.55e-5","7.77","7.57","28.1","6.5 m -   14 m","bK09V39Z"
"(2014 LY21)","2014-Jun-03 17:38 ± 3_08:16","0.05 | 0.00013","0.02 | 6.02e-5","13.31","11.72","29.1","4.0 m -  9.0 m","bK14L21Y"
"(2010 VP139)","2010-Nov-12 02:23 ± 3_18:24","0.21 | 0.00053","0.02 | 6.15e-5","9.41","8.87","29.2","3.8 m -  8.6 m","bK10VD9P"
"(2020 CD3)","2019-Apr-04 09:37 ±    07:38","0.03 | 8.71e-5","0.03 | 6.58e-5","7.80","NaN","31.7","1.2 m -  2.7 m","bK20C03D"
"(2008 TS26)","2008-Oct-09 03:30 ±    00:03","0.03 | 8.44e-5","0.03 | 7.79e-5","15.76","13.61","33.2","0.61 m -  1.4 m","bK08T26S"
"(2011 CQ1)","2011-Feb-04 19:39 ± < 00:01","0.03 | 7.92e-5","0.03 | 7.92e-5","9.69","5.17","32.1","1.0 m -  2.3 m","bK11C01Q"
