Object,Date,Nominal Distance,Minimum Distance,Lower Diameter Range,Upper Diameter Range
509352 (2007 AG),1900-01-04,3.75,3.75,250.0,570.0
(2014 SC324),1900-01-11,15.55,15.52,37.0,82.0
4660 Nereus (1982 DB),1900-01-29,8.09,8.08,560.0,1200.0
(2015 RW83),1900-02-04,12.63,12.46,40.0,90.0
(2009 BW2),1900-02-04,6.86,6.4,25.0,57.0
(2002 LY1),1900-02-05,19.09,19.08,92.0,210.0
348306 (2005 AY28),1900-02-05,13.27,13.27,130.0,300.0
378160 (2006 WX1),1900-02-10,14.35,14.31,330.0,750.0
(2012 SD22),1900-02-18,15.69,15.69,250.0,570.0
(2019 DS1),1900-02-26,6.25,1.63,20.0,45.0
(2019 DB),1900-02-27,8.73,2.26,16.0,36.0
(2019 CW),1900-02-27,7.42,6.46,46.0,100.0
(2013 RZ5),1900-02-27,13.57,8.74,5.6,12.0
419472 (2010 DW1),1900-02-27,18.32,18.32,280.0,620.0
(2015 EQ),1900-03-02,10.85,8.04,16.0,36.0
(2007 ED125),1900-03-04,5.29,5.29,170.0,380.0
(2019 EW1),1900-03-10,9.65,6.4,10.0,23.0
(2003 FK1),1900-03-15,13.5,7.16,67.0,150.0
(2018 DH1),1900-03-22,15.65,15.47,160.0,360.0
(2017 FX101),1900-04-03,7.46,7.33,23.0,52.0
(2005 EU2),1900-04-12,12.22,11.22,64.0,140.0
448721 (2011 BN24),1900-04-13,15.45,14.16,180.0,390.0
(2009 HU44),1900-04-20,18.98,16.22,80.0,180.0
(2010 JL1),1900-05-01,14.17,13.98,21.0,47.0
(2017 KD3),1900-05-02,19.03,18.11,92.0,210.0
(2018 JM2),1900-05-06,7.41,6.7,20.0,45.0
(2016 JC6),1900-05-09,13.36,13.36,150.0,330.0
326290 Akhenaten (1998 HE3),1900-05-10,4.01,4.01,120.0,260.0
461852 (2006 GY2),1900-05-12,18.45,18.39,460.0,1000.0
(2016 GW221),1900-05-24,11.07,11.07,31.0,68.0
(2017 HK1),1900-05-29,13.99,12.03,25.0,57.0
(2014 WG365),1900-06-02,18.16,17.69,270.0,590.0
(2014 MZ17),1900-06-06,14.14,14.04,40.0,90.0
(2010 MA),1900-06-14,9.92,9.88,19.0,43.0
(2019 VL5),1900-06-14,7.2,4.77,18.0,39.0
(2007 UL12),1900-06-25,10.47,10.47,160.0,360.0
(2008 KV2),1900-06-25,16.21,16.2,150.0,330.0
(2019 OY3),1900-07-18,18.87,18.82,330.0,750.0
