pdes,diameter
433,16.84
719,
887,4.2
1036,37.675
1221,1.0
1566,1.0
1580,5.8
1620,2.56
1627,9.12
1685,3.4
1862,1.5
1863,2.1
1864,3.7
1865,1.2
1866,8.48
1915,0.5
1916,3.5
1917,5.7
1943,2.3
1980,4.3
1981,3.4
2059,
2061,2.6
2062,1.1
2063,
2100,2.3
2101,0.6
2102,1.649
2135,
2201,1.80
2202,
2212,5.7
2329,
2340,0.3
2368,2.3
2608,0.9
3102,1.6
3103,1.5
3122,4.9
3199,2.2
3200,6.25
3271,
3288,2.8
3352,
3360,1.8
3361,0.3
3362,0.7
3551,0.9
3552,19.0
3553,
3554,3.341
3671,1.5
3691,4.3
3752,2.306
3753,2.071
3757,0.5
3838,
3908,1.0
3988,0.7
4015,4
4034,0.42
4055,2.49
4179,5.4
4183,3.651
4197,1.8
4257,
4341,
4401,1.801
4450,
4486,1.849
4487,
4503,
4544,1.3
4581,
4596,
4660,0.33
4688,0.6
4769,1.4
4947,
4953,
4954,10.8
4957,3.499
5011,
5131,
5143,4.843
5189,
5324,
5332,3.6
5370,3.6
5381,0.935
5496,
5587,3.57
5590,
5604,0.55
5620,
5626,
5645,1.668
5646,4.3
5653,1.537
5660,
5693,
5731,5.231
5751,2.3
5786,
5797,0.4
5828,
5836,
5863,
5869,
5879,
6037,
6047,
6050,2.884
6053,3.720
6063,1.4
6178,2.3
6239,
6455,4.626
6456,
6489,0.53
6491,
6569,
6611,
7025,0.498
7088,
7092,
7236,
7335,1.8
7336,
7341,
7350,1.921
7358,
7474,
7480,
7482,1.052
7753,
7822,1.602
7839,0.784
7888,
7889,1.680
7977,
8013,2.3
8014,0.7
8034,
8035,
8037,
8176,
8201,1.859
8507,
8566,1.568
8567,2.928
8709,
9058,
9162,1.127
9172,
9202,1.617
9400,
9856,1.0
9950,
10115,0.938
10145,
10150,
10165,0.829
10302,
10563,
10636,
10860,
11054,
11066,2.104
11284,
11311,
11398,1.316
11405,
11500,0.738
11885,1.298
12538,1.663
12711,
12923,2.060
13553,
13651,0.562
14402,0.6
14827,0.9
15745,
15817,
16064,4.106
16636,
16657,
16816,
16834,1.87
16912,
16960,
17181,
17182,2.885
17188,1.819
17274,3.183
17511,
18106,
18109,
18172,
18736,
18882,
19356,0.91
19764,1.572
20086,
20236,
20255,
20425,
20429,
20460,2.716
20790,
20826,
21088,2.793
21277,
21374,
22099,
22753,
22771,
23183,1.098
23187,
23548,
23606,
23714,
24443,
24445,
24475,
24761,
25143,0.33
25330,3.21
25916,5.683
26166,
26310,
26379,
26663,
26760,5.400
26817,
27002,
27031,
27346,1.802
29075,2.000
30825,
30997,
31210,
31221,
31345,
31346,
31662,
31669,
32906,
33342,
34613,
35107,0.929
35396,
35432,
35670,
36017,
36183,2.339
36236,
36284,
37336,
37638,
37655,
38071,
38086,
38091,
38239,
39565,
39572,1.554
39796,2.131
40263,0.954
40267,1.641
40329,
41429,0.204
41440,
42286,
48603,0.844
52340,
52381,
52387,
52689,
52750,1.059
52760,1.0
52761,
52762,6.742
52768,
53110,
53319,7.
53409,
53426,
53429,
53430,1.233
53435,
53550,
53789,0.843
54071,
54401,1.189
54509,
54660,
54686,1.349
54690,
54789,1.567
55408,0.461
55532,1.306
65674,
65679,0.918
65690,
65706,
65717,
65733,
65803,0.78
65909,
65996,
66008,1.484
66063,
66146,2.864
66251,1.222
66253,
66272,0.808
66391,1.317
66400,0.411
66407,
66959,
67367,
67381,
67399,
68031,
68063,2.301
68216,
68267,0.875
68278,0.942
68346,
68347,
68348,3.512
68350,1.794
68359,
68372,
68548,1.182
68950,
69230,
85182,1.1
85184,
85236,
85275,
85490,
85585,
85628,0.775
85640,
85709,2.230
85713,3.484
85770,
85774,0.939
85804,2.272
85818,2.028
85839,1.140
85867,
85938,
85953,0.59
85989,1.462
85990,0.451
86039,2.22
86067,1.245
86324,2.102
86326,1.348
86450,
86666,
86667,
86819,0.802
86829,1.823
86878,
87024,
87025,
87309,0.568
87311,1.948
87684,
88188,1.371
88213,0.912
88254,
88263,5.748
88264,
88710,
88959,
89136,
89355,2.038
89830,5.067
89958,
89959,1.407
90075,2.233
90147,
90367,1.748
90373,
90403,
90416,
96189,3.605
96315,
96536,
96590,0.882
96631,
96744,
97725,
98943,
99248,1.115
99799,
99907,1.4
99935,
99942,0.34
100004,2.70
100085,
100756,
100926,1.174
101869,
101873,
101955,0.492
102873,
103067,1.282
105140,
105141,0.352
106538,
106589,
108519,
108906,
111253,3.006
112221,
112985,
115052,
136564,0.4
136582,
136617,
136618,
136635,
136745,
136770,
136773,
136793,
136795,
136818,
136839,
136849,
136874,3.398
136897,
136900,
136923,
136993,
137032,
137044,
137052,
137062,1.265
137064,
137078,
137084,
137099,0.564
137108,
137120,
137125,
137126,
137158,
137170,
137175,
137199,
137427,
