Entity,Code,Fertility,Population
Afghanistan,AFG,4.802,33736494
Albania,ALB,1.714,2923352
Algeria,DZA,2.839,39871528
Angola,AGO,5.766,27859305
Antigua and Barbuda,ATG,2.063,99923
Argentina,ARG,2.308,43417765
Armenia,ARM,1.622,2916950
Aruba,ABW,1.801,104341
Australia,AUS,1.856,23799556
Austria,AUT,1.48,8678657
Azerbaijan,AZE,2.092,9617484
Bahamas,BHS,1.778,386838
Bahrain,BHR,2.056,1371855
Bangladesh,BGD,2.133,161200886
Barbados,BRB,1.796,284217
Belarus,BLR,1.686,9485772
Belgium,BEL,1.786,11287940
Belize,BLZ,2.544,359288
Benin,BEN,5.048,10575952
Bhutan,BTN,2.086,787386
Bolivia,BOL,2.921,10724705
Bosnia and Herzegovina,BIH,1.345,3535961
Botswana,BWA,2.774,2209197
Brazil,BRA,1.74,205962108
Brunei,BRN,1.884,417542
Bulgaria,BGR,1.545,7177396
Burkina Faso,BFA,5.436,18110624
Burundi,BDI,5.781,10199270
Cambodia,KHM,2.594,15517635
Cameroon,CMR,4.778,22834522
Canada,CAN,1.586,35949709
Cape Verde,CPV,2.374,532913
Central African Republic,CAF,4.94,4546100
Chad,TCD,6.05,14009413
Chile,CHL,1.785,17762681
China,CHN,1.617,1397028553
Colombia,COL,1.874,48228697
Comoros,COM,4.42,777424
Congo,COG,4.721,4995648
Costa Rica,CRI,1.8,4807852
Cote d'Ivoire,CIV,4.976,23108472
Croatia,HRV,1.464,4236016
Cuba,CUB,1.72,11461432
Curacao,CUW,2.051,158010
Cyprus,CYP,1.35,1160985
Czech Republic,CZE,1.522,10603762
Democratic Republic of Congo,COD,6.202,76196619
Denmark,DNK,1.736,5688695
Djibouti,DJI,2.913,927414
Dominican Republic,DOM,2.451,10528394
Ecuador,ECU,2.514,16144368
Egypt,EGY,3.311,93778172
El Salvador,SLV,2.101,6312478
Equatorial Guinea,GNQ,4.775,1175389
Eritrea,ERI,4.208,4846976
Estonia,EST,1.617,1315321
Ethiopia,ETH,4.317,99873033
Fiji,FJI,2.541,892149
Finland,FIN,1.77,5481966
France,FRA,1.979,64457201
French Guiana,GUF,3.358,268691
French Polynesia,PYF,2.028,277690
Gabon,GAB,3.85,1930175
Gambia,GMB,5.488,1977590
Georgia,GEO,2.003,3951524
Germany,DEU,1.45,81707789
Ghana,GHA,4.042,27582821
Greece,GRC,1.314,11217800
Grenada,GRD,2.126,106823
Guam,GUM,2.367,161797
Guatemala,GTM,3.029,16252429
Guinea,GIN,4.934,12091533
Guinea-Bissau,GNB,4.71,1770526
Guyana,GUY,2.534,768514
Haiti,HTI,2.973,10711061
Honduras,HND,2.507,8960829
Hong Kong,HKG,1.271,7245701
Hungary,HUN,1.361,9783925
Iceland,ISL,1.946,330243
India,IND,2.352,1309053980
Indonesia,IDN,2.389,258162113
Iran,IRN,1.686,79360487
Iraq,IRQ,4.427,36115649
Ireland,IRL,1.989,4700107
Israel,ISR,2.999,8064547
Italy,ITA,1.457,59504212
Jamaica,JAM,2.026,2871934
Japan,JPN,1.444,127974958
Jordan,JOR,3.445,9159302
Kazakhstan,KAZ,2.658,17749648
Kenya,KEN,3.917,47236259
Kiribati,KIR,3.693,112407
Kuwait,KWT,1.986,3935794
