River,Total number of trolleys,,,,,
,Survey 2005,Survey 2007,Survey 2008,Survey 2009,Survey 2010,Survey 2011
Avon West,N/A,N/A,N/A,11,5,4
Avon (New Cut),8,19,11,13,22,6
Avon (Temple Meads-Conham),8,13,11,0,8,1
Begbrook,0,1,0,0,0,0
Boiling Wells,0,0,0,0,0,0
Brislington Brook,69,58,22,20,11,9
Colliters Brook,1,2,0,0,0,3
Coombe Brook,1,2,0,0,0,0
Cranbrook,1,0,0,0,0,0
Fishponds Brook,4,2,3,0,0,0
Floating Harbour,1,0,0,0,0,0
Frome,8,51*,48*,87*,62*,14*
Hazel Brook,9,2,4,2,2,9
Henry Sleed Stream,0,0,0,1,0,0
Horfield Brook,7,3,4,1,1,0
Malago,20,4,8,3,1,3
Pigeonhouse stream,15,2,5,17,1,4
Trym,1,2,0,2,0,1

* River Frome and Frome Interceptor combined ,,,,,,

Store,Total number of trolleys,,,,,
,Survey 2005,Survey 2007,Survey 2008,Survey 2009,Survey 2010,Survey 2011
Aldi,2,0,0,0,0,0
Asda,25,37,13,11,6,7
B & Q,17,5,2,2,0,1
Co-op,3,0,0,0,0,1
Farmfoods,3,0,0,0,0,0
Focus,0,1,0,0,0,0
Iceland,2,2,4,1,2,4
IKEA,0,5,2,0,0,0
Lidl,2,1,2,2,0,0
Londis,0,1,0,0,0,0
Matalan,0,1,0,0,0,0
M & S,0,0,0,1,0,0
Pets at Home,1,0,0,0,0,0
Morrisons,3,1,3,11,1,4
Sainsbury,10,14,3,6,3,0
Somerfield,2,5,1,1,0,0
Staples,0,2,0,0,0,0
Tesco,45,19,7,2,7,5
Woolworths,0,1,0,1,0,0
Unidentifed,41,66,79,119,93,32
