food_code,name,group,protein,fat,carbs,cals,fibre,g,g2,short_name
13-801,"Allspice, ground",H,6.1,8.7,0,0,,H,Herbs and spices,Allspice
14-803,"Almonds, toasted",GA,21.2,56.7,7,621,,G,Nuts and seeds,Almonds
16-448,"Anchovies, canned in oil, drained",JC,25.2,10,0,191,0,J,Fish,Anchovies
14-319,"Apples, eating, raw, flesh and skin",FA,0.6,0.5,11.6,51,1.2,F,Fruit,Apples
14-025,"Apricots, raw, flesh and skin",FA,0.9,0.1,7.2,31,N,F,Fruit,Apricots
13-155,"Artichoke, globe, base of leaves and heart, boiled in unsalted water",DG,2.9,0.2,2.7,18,,D,Vegetables,Globe artichoke
13-161,"Aubergine, raw",DG,0.9,0.4,2.2,15,0,D,Vegetables,Aubergine
19-016,"Bacon rashers, streaky, raw",MAA,15.8,23.6,0,276,,M,Meat,Bacon
17-355,Baking powder,WY,5.2,0,37.8,163,0,W,"Soups, sauces, and misc",Baking powder
14-318,"Bananas, flesh only",FA,1.2,0.1,20.3,81,1.4,F,Fruit,Banana
11-002,"Barley, pearl, raw",AA,7.9,1.7,83.6,360,,A,Cereals,Pearl barley
13-804,"Basil, fresh",H,3.1,0.8,5.1,40,0,H,Herbs and spices,Basil
16-386,"Bass, sea, flesh only, baked",JA,23.2,6.8,0,154,0,J,Fish,Sea bass
13-806,"Bay leaf, dried",H,7.6,8.4,48.6,313,,H,Herbs and spices,Bay leaf
13-064,"Beans, broad, whole, raw",DB,5.7,1,7.2,59,,D,Vegetables,Broad beans
13-560,"Beans, chick peas, canned, re-heated, drained",DB,7.2,2.9,16.1,115,0,D,Vegetables,Chick peas
13-514,"Beans, green, raw",DB,2.1,0.4,3.1,24,3.4,D,Vegetables,Green beans
13-087,"Beans, haricot, whole, dried, boiled in unsalted water",DB,6.6,0.5,17.2,95,,D,Vegetables,Haricot beans
13-426,"Beansprouts, mung, raw",DB,2.9,0.5,4,31,0,D,Vegetables,Beansprouts
18-007,"Beef, braising steak, raw, lean and fat",MAC,20.7,8.6,0,160,,M,Meat,Beef
13-164,"Beetroot, raw",DG,1.7,0.1,7.6,36,,D,Vegetables,Beetroot
17-356,Bicarbonate of soda,WY,0,0,0,0,,W,"Soups, sauces, and misc",Bicarbonate of soda
14-048,"Blackberries, raw",FA,0.9,0.2,5.1,25,N,F,Fruit,Blackberries
14-053,"Blackcurrants, raw",FA,0.9,0,6.6,28,0,F,Fruit,Blackcurrants
14-325,Blueberries,FA,0.9,0.2,9.1,40,1.5,F,Fruit,Blueberries
