note,Alban Berg,Alexander Scriabin,Anton Arensky,Antonio Soler,Carl Maria von Weber,Charles Gounod / Franz Liszt,Claude Debussy,César Franck,Domenico Scarlatti,Edvard Grieg,Felix Mendelssohn,Felix Mendelssohn / Sergei Rachmaninoff,Franz Liszt,Franz Liszt / Camille Saint-Saëns,Franz Liszt / Vladimir Horowitz,Franz Schubert,Franz Schubert / Franz Liszt,Franz Schubert / Leopold Godowsky,Fritz Kreisler / Sergei Rachmaninoff,Frédéric Chopin,George Enescu,George Frideric Handel,Georges Bizet / Ferruccio Busoni,Georges Bizet / Moritz Moszkowski,Georges Bizet / Vladimir Horowitz,Giuseppe Verdi / Franz Liszt,Henry Purcell,Isaac Albéniz,Isaac Albéniz / Leopold Godowsky,Jean-Philippe Rameau,Johann Christian Fischer / Wolfgang Amadeus Mozart,Johann Pachelbel,Johann Sebastian Bach,Johann Sebastian Bach / Egon Petri,Johann Sebastian Bach / Ferruccio Busoni,Johann Sebastian Bach / Franz Liszt,Johann Sebastian Bach / Myra Hess,Johann Strauss / Alfred Grünfeld,Johannes Brahms,Joseph Haydn,Leoš Janáček,Ludwig van Beethoven,Mikhail Glinka / Mily Balakirev,Mily Balakirev,Modest Mussorgsky,Muzio Clementi,Niccolò Paganini / Franz Liszt,Nikolai Medtner,Nikolai Rimsky-Korsakov / Sergei Rachmaninoff,Orlando Gibbons,Percy Grainger,Pyotr Ilyich Tchaikovsky,Pyotr Ilyich Tchaikovsky / Mikhail Pletnev,Pyotr Ilyich Tchaikovsky / Sergei Rachmaninoff,Richard Wagner / Franz Liszt,Robert Schumann,Robert Schumann / Franz Liszt,Sergei Rachmaninoff,Sergei Rachmaninoff / György Cziffra,Sergei Rachmaninoff / Vyacheslav Gryaznov,Wolfgang Amadeus Mozart,All
A#1,6.0,628,49.0,5.0,11.0,26.0,625,92.0,27.0,,112.0,44.0,2389,103.0,83,1370.0,41.0,,16.0,1643.0,33.0,4.0,23.0,4.0,11.0,13.0,,25.0,2.0,,,,43.0,4.0,212.0,69.0,,7.0,1045.0,206.0,50.0,2603.0,6.0,37.0,321.0,129.0,11.0,134.0,,,,122.0,44.0,,40.0,1477.0,2.0,1224,,16.0,124.0,15311.0
A#2,32.0,1223,142.0,29.0,65.0,40.0,1130,210.0,105.0,3.0,509.0,164.0,5855,147.0,85,5408.0,101.0,,21.0,5038.0,75.0,155.0,53.0,20.0,27.0,24.0,,108.0,6.0,16.0,1.0,2.0,2368.0,237.0,397.0,92.0,,37.0,2191.0,843.0,348.0,8739.0,33.0,142.0,609.0,350.0,18.0,344.0,4.0,31.0,24.0,442.0,76.0,14.0,95.0,4271.0,17.0,3056,7.0,73.0,815.0,46467.0
A#3,123.0,2759,420.0,20.0,164.0,129.0,3725,561.0,453.0,22.0,1286.0,611.0,11050,260.0,119,12540.0,503.0,25.0,94.0,12772.0,182.0,307.0,66.0,60.0,25.0,63.0,,633.0,10.0,30.0,6.0,27.0,5143.0,313.0,668.0,194.0,,121.0,4105.0,2302.0,630.0,14040.0,113.0,707.0,652.0,825.0,36.0,658.0,9.0,55.0,73.0,709.0,116.0,57.0,169.0,10661.0,58.0,5718,30.0,120.0,3387.0,100714.0
A#4,111.0,3367,337.0,72.0,179.0,121.0,4437,706.0,870.0,24.0,1167.0,917.0,11280,247.0,157,9824.0,457.0,25.0,106.0,12843.0,223.0,476.0,69.0,75.0,67.0,88.0,2.0,532.0,17.0,25.0,5.0,26.0,7447.0,175.0,778.0,218.0,1.0,170.0,4635.0,3223.0,396.0,12418.0,107.0,696.0,1100.0,1169.0,25.0,608.0,26.0,40.0,108.0,758.0,102.0,134.0,192.0,9296.0,64.0,6051,38.0,144.0,3740.0,102711.0
A#5,57.0,1314,130.0,12.0,91.0,80.0,2267,181.0,404.0,23.0,280.0,234.0,9802,251.0,162,4785.0,167.0,,65.0,6213.0,138.0,84.0,43.0,32.0,43.0,106.0,13.0,403.0,5.0,,1.0,10.0,1266.0,153.0,355.0,134.0,1.0,227.0,3113.0,2062.0,200.0,7703.0,85.0,407.0,474.0,470.0,26.0,215.0,23.0,,76.0,455.0,123.0,38.0,172.0,3443.0,28.0,2797,54.0,210.0,1988.0,53694.0
A#6,13.0,214,29.0,,5.0,118.0,807,20.0,,,20.0,18.0,5570,151.0,108,703.0,78.0,,9.0,1597.0,19.0,,2.0,10.0,17.0,93.0,,88.0,,,,,7.0,,35.0,20.0,,100.0,543.0,,14.0,523.0,72.0,228.0,82.0,6.0,6.0,47.0,4.0,,35.0,134.0,47.0,13.0,58.0,282.0,6.0,381,6.0,47.0,,12385.0
A1,11.0,364,80.0,22.0,30.0,84.0,438,74.0,64.0,1.0,342.0,64.0,2252,110.0,82,1566.0,57.0,1.0,13.0,1111.0,50.0,5.0,48.0,7.0,10.0,10.0,,33.0,5.0,1.0,,,85.0,,407.0,76.0,4.0,4.0,1297.0,61.0,4.0,2189.0,1.0,38.0,197.0,31.0,49.0,179.0,3.0,,7.0,33.0,405.0,,17.0,1254.0,6.0,572,2.0,,95.0,13951.0
A2,50.0,937,357.0,41.0,91.0,145.0,1106,200.0,650.0,71.0,1023.0,96.0,5581,204.0,138,6422.0,160.0,22.0,43.0,3984.0,180.0,206.0,98.0,56.0,59.0,25.0,11.0,154.0,54.0,55.0,20.0,,3302.0,28.0,870.0,142.0,9.0,8.0,3627.0,360.0,173.0,6805.0,10.0,176.0,381.0,232.0,114.0,510.0,24.0,23.0,13.0,243.0,428.0,,55.0,3988.0,14.0,1749,10.0,3.0,1096.0,46632.0
A3,114.0,2165,663.0,22.0,361.0,350.0,3389,476.0,1904.0,48.0,2424.0,333.0,11060,237.0,225,13925.0,988.0,88.0,150.0,8337.0,418.0,746.0,154.0,166.0,89.0,63.0,67.0,622.0,46.0,129.0,47.0,,7904.0,126.0,1575.0,210.0,45.0,26.0,6546.0,1885.0,183.0,13181.0,7.0,601.0,328.0,911.0,228.0,1034.0,50.0,53.0,40.0,502.0,1188.0,24.0,81.0,10268.0,33.0,4377,61.0,26.0,4241.0,105540.0
A4,100.0,2740,651.0,140.0,457.0,273.0,4453,632.0,3131.0,107.0,2267.0,859.0,12318,331.0,266,14638.0,651.0,93.0,195.0,8548.0,549.0,1053.0,251.0,190.0,106.0,68.0,99.0,658.0,62.0,122.0,112.0,,10791.0,106.0,1856.0,249.0,141.0,29.0,7194.0,3123.0,145.0,12501.0,12.0,629.0,519.0,1413.0,178.0,1141.0,62.0,61.0,67.0,530.0,1174.0,32.0,154.0,10921.0,15.0,5010,65.0,40.0,6043.0,120321.0
