canonical_composer,canonical_title
Alban Berg,Sonata Op. 1
Alexander Scriabin,"24 Preludes Op. 11, No. 13-24"
Alexander Scriabin,"3 Etudes, Op. 65"
Alexander Scriabin,"5 Preludes, Op.15"
Alexander Scriabin,"Entragete, Op.63"
Alexander Scriabin,"Etude Op. 2 No.1;  Etudes Op. 8, Nos. 5, 11 and 12"
Alexander Scriabin,"Etude Op. 42, Nos. 4 & 5"
Alexander Scriabin,"Etude Op. 8, No. 13"
Alexander Scriabin,"Etude in D-flat Major, Op. 8 No. 10"
Alexander Scriabin,Etudes from Op.8
Alexander Scriabin,Fantasy Op. 28 in B Minor
Alexander Scriabin,"Fantasy in B Minor, Op. 28"
Alexander Scriabin,"Fantasy, Op. 28"
Alexander Scriabin,"Fragilite, Op.51"
Alexander Scriabin,"Prelude and Nocturne for Left Hand, Op. 9"
Alexander Scriabin,Sonata No. 2
Alexander Scriabin,"Sonata No. 2 in G-sharp Minor, Op. 19"
Alexander Scriabin,"Sonata No. 2 in G-sharp Minor, Op. 19 (Complete)"
Alexander Scriabin,"Sonata No. 3 in F-sharp Minor, Op. 23"
Alexander Scriabin,"Sonata No. 4 in F-sharp Major ,Op.30"
Alexander Scriabin,"Sonata No. 5 in F-sharp Minor, Op. 53"
Alexander Scriabin,"Sonata No. 5, Op. 53"
Alexander Scriabin,Sonata No. 9
Alexander Scriabin,"Sonata No. 9, Op. 68"
Alexander Scriabin,"Sonata No. 9, Op. 68, ""Black Mass"""
Alexander Scriabin,"Two Impromptus, Op. 14 (Complete)"
Alexander Scriabin,"Waltz, Op. 38"
Anton Arensky,"Piano Trio in D Minor, Op. 32"
Antonio Soler,Sonata No. 10 in B Minor
Carl Maria von Weber,"Sonata No. 1, 2nd, 3rd and 4th movements"
Charles Gounod / Franz Liszt,Faust Waltz
Claude Debussy,"""Feux d'artifice"" from Book II"
Claude Debussy,"""Images"", Series I"
Claude Debussy,"""Les collines d'Anacapri"" from Preludes, Book I"
Claude Debussy,"""Ondine"" from Book II"
Claude Debussy,"""Voiles"" from Preludes, Book I"
Claude Debussy,"Barcarolle, Op. 60"
Claude Debussy,Bruyeres
Claude Debussy,Estampes (Complete)
Claude Debussy,"Etude ""Pour le arpeges composes"""
Claude Debussy,"Etude ""Pour les accords"""
Claude Debussy,"Etude ""Pour les huit doigts"""
Claude Debussy,"Etude No. 6, Book I, ""Pour les huits doigts"""
Claude Debussy,"Etude No. 7 ""Study in Chromatic Steps"""
Claude Debussy,Feux d'artifice
Claude Debussy,Four Preludes
Claude Debussy,Image (Book II)
Claude Debussy,"Images Book 1 (Complete), L 110"
Claude Debussy,Images Book II
Claude Debussy,"Images, Book I"
Claude Debussy,"Images, Book I, ""Reflets dans l'eau"""
Claude Debussy,"Images, Book II, ""Poissons d'or"""
Claude Debussy,Jardins sous la pluie from Estampes
Claude Debussy,L'Isle Joyeuse
Claude Debussy,"L'isle joyeuse, L. 106"
Claude Debussy,Les Collines d'Anacapri from Book I
Claude Debussy,Pagodas from Estampes No. 1
Claude Debussy,Pour le piano (Complete)
Claude Debussy,"Prelude No. 24 ""Fireworks"""
Claude Debussy,"Prelude No. 6, Book I, ""Des pas sur la neige"""
Claude Debussy,"Prelude No. 7, Book II, La terrasse des audiences du clair de lune"
Claude Debussy,"Preludes Book II: “Feux d'artifice,” L 123, No. 12"
Claude Debussy,"Preludes No. 2, 6, 12"
Claude Debussy,"Preludes, Book II, III - La puerta del vino"
Claude Debussy,"Preludes, Book II, L 123 (Complete)"
Claude Debussy,"Preludes, Book II, L 123, IV. «Les fées sont d'exquises danseuses»"
Claude Debussy,"Preludes, Book II, VII - La terasse des audiences du clair de lune"
Claude Debussy,PreludesBII/7-12
Claude Debussy,SuiteBergamasque
Claude Debussy,Three Etudes
César Franck,Prel./Chor./Fug.
César Franck,"Prelude, Choral et Fugue"
César Franck,"Prelude, Fugue et Variation, Op. 18, Arrangement Delle Vigne"
César Franck,"Prélude, chorale, et fugue, M. 21"
Domenico Scarlatti,Sonata K. 466
Domenico Scarlatti,Sonata K. 525
Domenico Scarlatti,Sonata K. 54
Domenico Scarlatti,"Sonata in A Major, K. 208"
Domenico Scarlatti,"Sonata in B Minor, K. 197"
Domenico Scarlatti,"Sonata in B Minor, K. 27"
Domenico Scarlatti,"Sonata in B Minor, K. 87"
Domenico Scarlatti,"Sonata in B Minor, L. 33"
Domenico Scarlatti,"Sonata in C Major, K. 132"
Domenico Scarlatti,"Sonata in C Major, K. 179"
Domenico Scarlatti,"Sonata in C Major, K. 513"
Domenico Scarlatti,"Sonata in C Minor, K. 84"
Domenico Scarlatti,"Sonata in D Major, K. 118"
Domenico Scarlatti,"Sonata in D Major, K. 119"
Domenico Scarlatti,"Sonata in D Major, K. 145"
Domenico Scarlatti,"Sonata in D Major, K. 430"
Domenico Scarlatti,"Sonata in D Major, K. 576"
Domenico Scarlatti,"Sonata in D Major, K. 96 L. 465"
Domenico Scarlatti,"Sonata in D Major, K96"
Domenico Scarlatti,"Sonata in D Minor, K. 1"
Domenico Scarlatti,"Sonata in D Minor, K. 141"
Domenico Scarlatti,"Sonata in D Minor, K. 213"
Domenico Scarlatti,"Sonata in D Minor, K. 9"
Domenico Scarlatti,"Sonata in D Minor, K. 9 L. 413"
Domenico Scarlatti,"Sonata in F Minor, K. 466"
Domenico Scarlatti,"Sonata in G Major, K. 146"
Domenico Scarlatti,"Sonata in G Major, K. 455"
Domenico Scarlatti,"Sonata, K239"
Domenico Scarlatti,Two Sonatas
Edvard Grieg,"Lyric Piece in A Minor, “Waltz,” Op. 12 No. 2"
Edvard Grieg,"Lyric Piece in E Minor, “Valse-Impromptu,” Op. 47 No.1"
Edvard Grieg,"Lyric Piece in E Minor, “Waltz,” Op. 38 No. 7"
Felix Mendelssohn,Etude in A Minor
Felix Mendelssohn,"Fantasy in F-sharp Minor, Op. 28 (Complete)"
Felix Mendelssohn,"Piano Trio No. 1 in D Major, Op. 49"
Felix Mendelssohn,"Rondo Capriccioso in E Minor, Op. 14"
Felix Mendelssohn,Variations Serieuses Op. 54
Felix Mendelssohn,"Variations Seriouses, Op. 54"
Felix Mendelssohn / Sergei Rachmaninoff,Scherzo
Felix Mendelssohn / Sergei Rachmaninoff,Scherzo from A Midsummer Night's Dream
Felix Mendelssohn / Sergei Rachmaninoff,"Scherzo from Mendelssohn's ""Midsummer Night's Dream"""
Franz Liszt,"""La Campanella"""
Franz Liszt,Annes de Pelerinage III: Le jeux d'eau a la Villa d'Este
Franz Liszt,"Après une lecture de Dante: Fantasia quasi Sonata, S.161, No. 7"
Franz Liszt,Au bord d'une source
Franz Liszt,"Ballade No. 2 in B Minor, S 171"
Franz Liszt,"Concert Etude ""Gnomenreigen"""
Franz Liszt,"Concert Etude ""La Leggierezza"""
Franz Liszt,"Concert Etude ""Un Sospiro"""
Franz Liszt,"Concert Etude ""Waldesrauschen"""
Franz Liszt,"Concert Etude No. 2 ""Gnomenreigen"""
Franz Liszt,"Concert Etude No. 2 La Leggierezza, S. 144"
Franz Liszt,"Concert Etude No. 2, ""Gnomenreigen"", S. 145/2"
Franz Liszt,"Concert Etude No. 2, ""La Leggierezza"", S. 144/2"
Franz Liszt,"Concert Etude No. 2, “La leggierezza"", S. 144"
Franz Liszt,"Concert Etude No. 3 in D-flat Major, ""Un Sospiro"", S. 144/3"
Franz Liszt,Dante Sonata
Franz Liszt,Funerailles
Franz Liszt,"Grandes Etudes de Paganini, S. 141"
Franz Liszt,"Grandes ètudes de Paganini No. 3 ""La Campanella"", S. 141"
Franz Liszt,"Grandes études de Paganini, No. 3 ""La campanella"", S.141/3"
Franz Liszt,Hungarian Rhapsody
Franz Liszt,"Hungarian Rhapsody No. 10 in E-flat Major, S. 244/10"
Franz Liszt,"Hungarian Rhapsody No. 10, S. 244/10"
Franz Liszt,"Hungarian Rhapsody No. 12, S. 244/12"
Franz Liszt,Hungarian Rhapsody No. 13 (arr. Volodos)
Franz Liszt,"Hungarian Rhapsody No. 13, S. 244/13"
Franz Liszt,Hungarian Rhapsody No. 15 in A Minor
