minlength,maxlength
6,16
8,20
8,15
6,20
8,20
8,20
8,
6,15
6,19
8,
8,65
6,14
8,20
,15
7,16
6,20
8,16
8,20
8,32
7,18
8,32
6,50
8,16
8,20
5,8
5,5
6,15
8,72
7,18
8,25
5,15
8,21
8,
8,20
5,5
6,12
4,16
,15
8,16
8,12
8,16
8,16
6,12
20,
6,8
5,16
8,16
8,
7,72
8,16
8,
,16
8,32
6,20
6,30
8,
6,10
8,30
,15
8,16
10,100
8,12
8,20
8,
8,12
8,32
7,16
8,20
6,20
9,20
8,20
6,16
6,128
4,4
8,20
7,
4,16
6,16
8,15
6,15
8,12
8,15
6,12
10,30
8,64
8,16
8,16
6,
8,10
8,16
8,16
8,16
12,30
6,20
8,
6,32
6,12
6,16
,15
8,16
8,
8,32
