Year,Name,Last name,Date of birth
1936,Lars Ahlfors,Ahlfors,18 April 1907
1936,Jesse Douglas,Douglas,3 July 1897
1950,Laurent Schwartz,Schwartz,5 March 1915
1950,Atle Selberg,Selberg,14 June 1917
1954,Kunihiko Kodaira,Kodaira,16 March 1915
1954,Jean-Pierre Serre,Serre,15 September 1926
1958,Klaus Roth,Roth,29 October 1925
1958,René Thom,Thom,2 September 1923
1962,Lars Hörmander,Hörmander,24 January 1931
1962,John Milnor,Milnor,20 February 1931
1966,Michael Atiyah,Atiyah,22 April 1929
1966,Paul Cohen,Cohen,2 April 1934
1966,Alexander Grothendieck,Grothendieck,28 March 1928
1966,Stephen Smale,Smale,15 July 1930
1970,Alan Baker,Baker,19 August 1939
1970,Heisuke Hironaka,Hironaka,9 April 1931
1970,Sergei Novikov,Novikov,20 March 1938
1970,John G. Thompson,Thompson,13 October 1932
1974,Enrico Bombieri,Bombieri,26 November 1940
1974,David Mumford,Mumford,11 June 1937
1978,Pierre Deligne,Deligne,3 October 1944
1978,Charles Fefferman,Fefferman,18 April 1949
1978,Grigori Margulis,Margulis,24 February 1946
1978,Daniel Quillen,Quillen,22 June 1940
1982,Alain Connes,Connes,1 April 1947
1982,William Thurston,Thurston,30 October 1946
1982,Shing-Tung Yau,Yau,4 April 1949
1986,Simon Donaldson,Donaldson,20 August 1957
1986,Gerd Faltings,Faltings,28 July 1954
1986,Michael Freedman,Freedman,21 April 1951
1990,Vladimir Drinfeld,Drinfeld,14 February 1954
1990,Vaughan F. R. Jones,Jones,31 December 1952
1990,Shigefumi Mori,Mori,23 February 1951
1990,Edward Witten,Witten,26 August 1951
1994,Jean Bourgain,Bourgain,28 February 1954
1994,Pierre-Louis Lions,Lions,11 August 1956
1994,Jean-Christophe Yoccoz,Yoccoz,29 May 1957
1994,Efim Zelmanov,Zelmanov,7 September 1955
1998,Richard Borcherds,Borcherds,29 November 1959
1998,Timothy Gowers,Gowers,20 November 1963
1998,Maxim Kontsevich,Kontsevich,25 August 1964
1998,Curtis T. McMullen,McMullen,21 May 1958
2002,Laurent Lafforgue,Lafforgue,6 November 1966
2002,Vladimir Voevodsky,Voevodsky,4 June 1966
2006,Andrei Okounkov,Okounkov,26 July 1969
2006,Grigori Perelman,Perelman,13 June 1966
2006,Terence Tao,Tao,17 July 1975
2006,Wendelin Werner,Werner,23 September 1968
2010,Elon Lindenstrauss,Lindenstrauss,1 August 1970 
2010,Ngô Bảo Châu,Châu,28 June 1972
2010,Stanislav Smirnov,Smirnov,3 September 1970
2010,Cédric Villani,Villani,5 October 1973
2014,Artur Avila,Avila,29 June 1979
2014,Manjul Bhargava,Bhargava,8 August 1974
2014,Martin Hairer,Hairer,14 November 1975
2014,Maryam Mirzakhani,Mirzakhani,12 May 1977
2018,Caucher Birkar,Birkar,1978
2018,Alessio Figalli,Figalli,2 April 1984
2018,Peter Scholze,Scholze,11 December 1987
2018,Akshay Venkatesh,Venkatesh,21 November 1981
