Word_CDI,Translation,Freq_NoWaC,Freq_CDS
'au','ouch',4366,7
'bææ','baa baa',18,5
'brrr (bil-lyd)','vroom',#N/A,20
'gakk gakk','quack quack',16,3
'grr','grr',78,1
'kykeliky','cock-a-doodle-doo',8,2
'mjau','meow',214,7
'møø','moo',8,7
'nam - nam','yum yum',35,19
'oi (uttrykk for overraskelse)','oh',5019,437
'tøff-tøff','choo choo',5,3
'voff voff','woof woof',10,52
'(meite)mark','(earth)worm',#N/A,#N/A
'and','duck',354716,4
'apekatt','monkey',1535,2
'bjørn','bear',9156,9
'dyr','animal',78524,29
'ekorn','squirrel',982,7
'elefant','elephant',3344,8
'elg','moose',6162,5
'esel','donkey',1292,9
'fisk','fish',73111,11
'flue','fly',5154,3
'frosk','frog',2759,4
'fugl','bird',40740,40
'gås','goose',1491,2
'gris','pig',7868,45
'hane','rooster',1508,1
'hest','horse',87784,39
'høne','hen',4401,5
'hund','dog',166676,35
'kanin','bunny',10421,9
'katt','cat',41391,24
'kattunge',kitten',6890,1
'krokodille','crocodile',1190,15
'ku','cow',10848,10
'kylling','chicken',7512,6
'lam','lamb',3076,7
'(leke)bamse','teddybear',3542,1
'løve','lion',3977,9
'maur','ant',1742,1
'mus','mouse',12268,20
'mygg','mosquito',3365,1
'pingvin','penguin',1297,2
'ponni','pony',4337,1
'reinsdyr','reindeer',1317,3
'sau','sheep',10218,15
'sebra','zebra',448,1
'sjiraff','giraffe',291,3
'skilpadde','turtle',1353,4
'sommerfugl','butterfly',2715,3
'tiger','tiger',3190,11
'ugle','owl',2374,2
'ulv','wolf',14204,27
'valp','puppy',26852,2
'veps','wasp',1086,1
'akebrett','sled',351,3
'barnevogn','stroller',1828,1
'bil','car',186357,96
'brannbil','firetruck',740,3
'båt','boat',79071,31
'buss','bus',34459,32
'fly','airplane',55541,42
'helikopter','helicopter',8329,2
'lastebil','truck',5854,4
'motorsykkel','motorcycle',4282,16
'sykkel','bicycle',22334,18
'tog','train',24356,18
'traktor','tractor',3479,24
'trehjulssykkel','tricycle',104,7
'ball','ball',96368,74
'ballong','balloon',2903,7
'blyant','pencil',1822,5
'bok','book',252996,167
'klosser','blocks',1217,21
'dukke','doll',6522,36
'lego','lego',336,3
'eventyr','fairytale',16232,2
'fargeblyant','crayon',119,2
'presang','present',900,7
'kritt','chalk',550,1
'leke','toy',11744,69
'lim','glue',3616,6
'penn','pen',6184,3
'plastilina','plasticine',69,1
'puslespill','puzzle',1543,7
'spill','game',127043,1
'såpebobler','soap bubbles',248,18
'(brød)skive','slice (of bread)',3034,2
'agurk','cucumber',1908,1
'appelsin','orange',2869,5
'banan','banana',4673,17
'boller','buns',#N/A,#N/A
'bønner','beans',3285,1
'brød','bread',13129,11
'brus','soda/pop',5503,2
'cola','coke',3232,1
'corn flakes','cornflakes',233,1
'dessert','dessert',4248,3
'druer',grapes',3611,1
'egg','egg',25973,16
'eple','apple',8413,27
'erter','peas',2466,1
'fisk','fish',73111,11
'frokostblanding','cereal',686,1
'frukt','fruits',22242,1
'godteri','candy',4832,3
'grøt','porridge',2799,8
'gulrot','carrot',4599,4
'hamburger','hamburger',1606,1
'is','ice cream',180159,11
'jordbær','strawberry',3565,3
'juice','juice',2818,3
'kaffe','coffee',27804,12
'kake','cake',13219,17
'kjeks','cracker',2138,17
'kjøtt','meat',20096,3
'kjøttkaker','meatballs',987,1
'knekkebrød','crispbread',1849,1
'kylling','chicken',7510,6
'leverpostei','liver paté',1157,1
'mat','food',124531,28
'matpakke','lunch packet',2521,1
'melk','milk',17156,25
'melon','melon',697,1
'nøtter','nuts',5757,1
'nugatti','Nugatti',209,1
'ost','cheese',8516,16
'pannekake','pancake',1916,2
'pasta','pasta',3675,4
'pizza','pizza',9099,4
'pølser','sausages',8362,4
'pommes frites','french fries',5,1
'popcorn','popcorn',224,1
'poteter','potatoes',10207,1
'potetgull','potato chips',1214,1
'ris','rice',6155,1
'ristet brød','toast',108,1
'rosiner','raisins',2121,1
'saft','fruit juice',6323,2
'salami','salami',432,5
'salt','salt',17282,2
'saus','sauce',4791,1
'sjokolade','chocolate',11297,7
'smør','butter',8481,6
'spagetti','spaghetti',412,1
'sukkertøy','candy',464,3
'suppe','soup',5071,1
'syltetøy',jam',1627,5
'te','tea',28772,10
'tran','cod-liver oil',2734,1
'tyggegummi','gum',811,4
'vafler','waffles',2823,1
'vann','water',128365,61
'yoghurt','yogurt',2455,3
'belte','belt',5983,1
'bleie','diaper',2239,21
'bukse','pants',13342,16
'dress (ute)','(thermal) suit',4804,3
'genser','sweater',5296,14
'glidelås','zipper',1213,1
'halskjede','necklace',149,1
'hansker','gloves',4341,1
'jakke','jacket',7271,5
'joggesko','sneakers',1657,4
'kjole','dress',13038,16
'knapper','buttons',19068,3
'lue','cap',4902,10
'pysjamas','pajamas',178,1
'regntøy','rainwear',546,2
'sandaler','sandals',1088,1
'shorts','shorts',2320,1
'skjerf','scarf',3567,6
'skjorte','shirt',6440,6
'sko','shoes',25474,23
'smekke','bib',97,2
'smokk','pacifier',876,6
'sokker','socks',4152,7
'støvler','boots',3174,2
'strømpebukse','tights',880,3
'strømper','sock',1423,1
't-skjorte','t-shirt',4612,1
'tøfler','slippers',1076,16
'underbukse','underpants',922,1
'votter','mittens',1479,2
'ankel','ankle',3147,1
'ansikt','face',35337,4
'arm','arm',28497,9
'bein','leg',31238,45
'finger','finger',35457,5
'fot','foot',34233,3
'hake','chin',1533,7
'hånd','hand',105619,58
'hår','hair',35568,33
'hode','head',84749,45
'kinn','cheek',4826,7
'kne','knee',14794,3
'lepper','lips',10442,1
'mage','tummy',32819,13
'munn','mouth',32844,37
'navle','belly button',1957,24
'nese','nose',15947,20
'øre','ear',35384,13
'øye','eye',100999,31
'pupp','tit',7496,2
'rumpe','buttocks/bottom',9979,9
'rygg','back',39556,11
'skulder','shoulder',15013,2
'tenner','teeth',15536,14
'tiss','willie',1410,1
'tunge','tongue',12814,2
'tå','toe',7497,18
'bilde','picture',450532,57
'boks','box',26669,16
'børste','brush',667,2
'bøtte','bucket',5175,18
'brett','tray',6842,4
'briller','glasses',5988,8
'dopapir','toilet paper',553,5
'dyne','duvet',3617,3
'eske','box',6027,8
'fat','(large) plate',#N/A,#N/A
'flaske','bottle',18779,9
'drikke','drink',13625,27
'gåbil','toy car',3,1
'gaffel','fork',1296,4
'glass','glass',23884,2
'hammer','hammer',1726,6
'håndkle','towel',2908,13
'kam','comb',3526,4
'kamera','camera',104401,5
'kasse','box',17380,8
'kjøkkenrull','roll of paper towels',9,1
'klokke','clock',82457,21
'kniv','knife',10132,1
'kopp','cup',8944,21
