year,colour,rgb,is_trans,total
1950,White,#FFFFFF,FALSE,23
1950,Red,#C91A09,FALSE,12
1950,Yellow,#F2CD37,FALSE,12
1950,Blue,#0055BF,FALSE,6
1950,Green,#237841,FALSE,6
1950,Bright Green,#4B9F4A,FALSE,4
1950,Light Green,#C2DAB8,FALSE,2
1950,Medium Blue,#5A93DB,FALSE,2
1950,Medium Orange,#FFA70B,FALSE,2
1950,Trans-Clear,#FCFCFC,TRUE,2
1953,White,#FFFFFF,FALSE,23
1953,Red,#C91A09,FALSE,16
1953,Green,#237841,FALSE,13
1953,Yellow,#F2CD37,FALSE,13
1953,Blue,#0055BF,FALSE,1
1954,Red,#C91A09,FALSE,69
1954,White,#FFFFFF,FALSE,68
1954,Yellow,#F2CD37,FALSE,16
1954,Blue,#0055BF,FALSE,13
1954,Green,#237841,FALSE,4
1954,Trans-Clear,#FCFCFC,TRUE,2
1954,Light Gray,#9BA19D,FALSE,1
1955,White,#FFFFFF,FALSE,368
1955,Red,#C91A09,FALSE,250
1955,Blue,#0055BF,FALSE,185
1955,Yellow,#F2CD37,FALSE,185
1955,Trans-Clear,#FCFCFC,TRUE,43
1955,Green,#237841,FALSE,6
1955,[No Color],#05131D,FALSE,1
1956,White,#FFFFFF,FALSE,143
1956,Red,#C91A09,FALSE,63
1956,Trans-Clear,#FCFCFC,TRUE,9
1956,Royal Blue,#4C61DB,FALSE,6
1956,[No Color],#05131D,FALSE,1
1957,White,#FFFFFF,FALSE,474
1957,Red,#C91A09,FALSE,246
1957,Blue,#0055BF,FALSE,64
1957,Trans-Clear,#FCFCFC,TRUE,55
1957,Black,#05131D,FALSE,24
1957,Yellow,#F2CD37,FALSE,20
1957,Green,#237841,FALSE,4
1957,Royal Blue,#4C61DB,FALSE,3
1957,Light Gray,#9BA19D,FALSE,2
1957,Metallic Silver,#A5A9B4,FALSE,2
1957,[No Color],#05131D,FALSE,1
1958,White,#FFFFFF,FALSE,711
1958,Red,#C91A09,FALSE,299
1958,Blue,#0055BF,FALSE,250
1958,Trans-Clear,#FCFCFC,TRUE,208
1958,Black,#05131D,FALSE,201
1958,Yellow,#F2CD37,FALSE,179
1958,Metallic Silver,#A5A9B4,FALSE,10
1958,Green,#237841,FALSE,8
1958,Royal Blue,#4C61DB,FALSE,6
1959,Red,#C91A09,FALSE,27
1959,Blue,#0055BF,FALSE,23
1959,Yellow,#F2CD37,FALSE,6
1959,Light Gray,#9BA19D,FALSE,4
1959,Trans-Clear,#FCFCFC,TRUE,2
1959,White,#FFFFFF,FALSE,2
1959,Royal Blue,#4C61DB,FALSE,1
1960,White,#FFFFFF,FALSE,237
1960,Red,#C91A09,FALSE,160
1960,Blue,#0055BF,FALSE,50
1960,Yellow,#F2CD37,FALSE,30
1960,Trans-Clear,#FCFCFC,TRUE,26
1960,Black,#05131D,FALSE,20
1960,Green,#237841,FALSE,2
1960,[No Color],#05131D,FALSE,1
1961,White,#FFFFFF,FALSE,622
1961,Red,#C91A09,FALSE,303
1961,Trans-Clear,#FCFCFC,TRUE,140
1961,Blue,#0055BF,FALSE,103
1961,Yellow,#F2CD37,FALSE,28
1961,Green,#237841,FALSE,10
1961,Royal Blue,#4C61DB,FALSE,5
1961,[No Color],#05131D,FALSE,1
1961,Black,#05131D,FALSE,1
1961,Light Gray,#9BA19D,FALSE,1
1961,Metallic Silver,#A5A9B4,FALSE,1
1962,White,#FFFFFF,FALSE,757
1962,Trans-Clear,#FCFCFC,TRUE,463
1962,Red,#C91A09,FALSE,448
1962,Blue,#0055BF,FALSE,376
1962,Black,#05131D,FALSE,349
1962,Yellow,#F2CD37,FALSE,349
1962,Light Gray,#9BA19D,FALSE,337
1962,Green,#237841,FALSE,184
1962,Royal Blue,#4C61DB,FALSE,6
