week_start,capacity_bytes,drive_type,count
2013-04-08,1500301910016,HDD,1
2013-04-08,4000787030016,HDD,449
2013-04-15,1000204886016,HDD,1
2013-04-15,1500301910016,HDD,14
2013-04-15,2000398934016,HDD,3
2013-04-15,3000592982016,HDD,98
2013-04-15,4000787030016,HDD,47
2013-04-22,1500301910016,HDD,11
2013-04-22,3000592982016,HDD,51
2013-04-22,4000787030016,HDD,89
2013-04-29,1000204886016,HDD,1
2013-04-29,1500301910016,HDD,6
2013-04-29,2000398934016,HDD,3
2013-04-29,3000592982016,HDD,9
2013-04-29,4000787030016,HDD,1
2013-05-06,1000204886016,HDD,3
2013-05-06,1500301910016,HDD,20
2013-05-06,2000398934016,HDD,2
2013-05-06,3000592982016,HDD,8
2013-05-06,4000787030016,HDD,135
2013-05-13,1500301910016,HDD,10
2013-05-13,2000398934016,HDD,4
2013-05-13,3000592982016,HDD,11
2013-05-13,4000787030016,HDD,720
2013-05-20,1500301910016,HDD,10
2013-05-20,2000398934016,HDD,2
2013-05-20,3000592982016,HDD,7
2013-05-20,4000787030016,HDD,48
2013-05-27,1000204886016,HDD,2
2013-05-27,1500301910016,HDD,8
2013-05-27,2000398934016,HDD,4
2013-05-27,3000592982016,HDD,7
2013-06-03,1000204886016,HDD,1
2013-06-03,1500301910016,HDD,10
2013-06-03,2000398934016,HDD,4
2013-06-03,3000592982016,HDD,9
2013-06-03,4000787030016,HDD,3
2013-06-10,1500301910016,HDD,5
2013-06-10,2000398934016,HDD,1
2013-06-10,3000592982016,HDD,4
2013-06-10,4000787030016,HDD,2
2013-06-17,1500301910016,HDD,10
2013-06-17,3000592982016,HDD,12
2013-06-17,4000787030016,HDD,1
2013-06-24,1500301910016,HDD,12
2013-06-24,2000398934016,HDD,1
2013-06-24,3000592982016,HDD,3
2013-06-24,4000787030016,HDD,766
2013-07-01,1500301910016,HDD,10
2013-07-01,3000592982016,HDD,2
2013-07-01,4000787030016,HDD,2
2013-07-08,1000204886016,HDD,2
2013-07-08,1500301910016,HDD,11
2013-07-08,2000398934016,HDD,4
2013-07-08,3000592982016,HDD,11
2013-07-08,4000787030016,HDD,3
2013-07-15,1500301910016,HDD,9
2013-07-15,2000398934016,HDD,2
2013-07-15,3000592982016,HDD,10
2013-07-15,4000787030016,HDD,3
2013-07-22,1500301910016,HDD,12
