Year,A*,A,B,C,D,E,N,U,A*-E,Number
2020 Teacher,14.4,24.2,27.5,21.8,9.1,2.7,NA,0.3,99.7,781029
2020 Algorithm,9,18.9,26.4,24.1,14.1,5.8,NA,1.7,98.3,780557
2019,7.8,17.7,26.1,24.2,15.2,6.6,NA,2.4,97.6,801002
2018,8,18.4,26.6,24,14.5,6.1,NA,2.4,97.6,811776
2017,8.3,18,26.8,24.3,14.6,5.9,NA,2.1,97.9,828355
2016,8.1,17.8,27,24.7,14.6,5.9,NA,1.9,98.1,836705
2015,8.2,17.7,26.9,24.5,14.7,6.1,NA,1.9,98.1,850749
2014,8.2,17.8,26.4,24.3,14.8,6.5,NA,2,98,833807
2013,7.6,18.7,26.6,24.3,14.7,6.2,NA,1.9,98.1,850752
2012,7.9,18.7,26,24,14.9,6.5,NA,2,98,861819
2011,8.2,18.8,25.6,23.6,15.1,6.5,NA,2.2,97.8,867317
2010,8.1,18.9,25.2,23.2,15.2,7,NA,2.4,97.6,853933
2009,NA,26.7,25.3,23.1,15.2,7.2,NA,2.5,97.5,846977
2008,NA,25.9,24.9,23.1,15.7,7.6,NA,2.8,97.2,827737
2007,NA,25.3,24.4,23.1,16,8.1,NA,3.1,96.9,805657
2006,NA,24.1,24,23.2,16.6,8.7,NA,3.4,96.6,805698
2005,NA,22.8,23.8,23.3,17.2,9.1,NA,3.8,96.2,783878
2004,NA,22.4,23.4,23.2,17.5,9.5,NA,4,96,766247
2003,NA,21.6,22.9,23,17.8,10.1,NA,4.6,95.4,750537
2002,NA,20.7,21.9,22.7,18.1,10.9,NA,5.7,94.3,701380
2001,NA,18.6,19.3,21.4,18.1,12.4,6.3,3.9,89.8,748866
2000,NA,17.8,19.2,21.2,18.5,12.4,6.6,4.3,89.1,771809
1999,NA,17.5,19,21,18.3,12.7,6.9,4.6,88.5,783692
1998,NA,16.8,18.9,20.8,18.3,13,7.2,5,87.8,794262
1997,NA,16,18.9,20.3,18.5,13.4,7.4,5.5,87.1,776115
1996,NA,16,18,19.8,18.3,13.7,7.8,6.4,85.8,739163
1995,NA,15.8,17.1,19,18.1,14.1,8.4,7.5,84.1,730415
1994,NA,14.8,17.1,18.6,18.1,14.4,8.8,8.1,83,732974
1993,NA,13.8,16.7,17.7,18.1,14.8,9.3,9.6,81.1,734081
1992,NA,12.8,16.3,17.4,18,15.3,9.8,10.4,79.8,731240
1991,NA,11.9,15.5,16.9,18.1,15.6,10.5,11.5,78,699041
1990,NA,11.7,15.5,16.9,17.7,15.2,10.7,12.3,76.7,684065
1989,NA,11.4,15.2,16.4,17.4,15.3,10.9,13.4,75.7,682997
1963-1986,NA,10,15,10,15,20,20,10,70,NA
