display_id,zipCode,land,state,objectType,buildType,baujahr,constructionType,units,squareMeters,city,Latitude,Longitude,Easting,Northing
4995,AB24,UK,Scotland,kindergarten | day care,Passive House new build,2015,timber construction,1,513,Aberdeen,57.1634,-2.10826,393551,808065
1773,AB51,UK,Scotland,detached single family house,low energy new build with PH components,2009,timber construction,1,179,"Midmar, Inverurie",57.2879,-2.4048,375698,821992
5872,AL3 8BA,UK,South East England,detached single family house,Passive House new build,2017,timber construction,1,192,"Flamstead, St. Albans",51.809363,-0.443699,507391,213448
5282,AL5,UK,South East England,detached single family house,Passive House new build,2017,timber construction,1,343,Harpenden,51.8146,-0.351518,513733,214170
5937,AL6 0LH,UK,South East England,detached single family house,Passive House new build,2018,masonry construction,1,209,Welwyn Garden City,51.821198,-0.154881,527268,215229
6329,BA3 3DD,UK,South West England,detached single family house,Passive House new build,2018,timber construction,1,114,Radstock,51.302447,-2.460946,367962,156026
6421,BN25,UK,South East England,detached single family house,EnerPHit Retrofit,2019,masonry construction,1,1444,Barton on Sea,50.776,0.107285,548672,99496
5632,BN3 6NR,UK,South East England,detached single family house,Passive House new build,2017,timber construction,1,454,Brigthon and Hove,50.837225,-0.164715,529327,105793
5633,BN33WL,UK,South East England,terraced house,low energy refurbishment with PH components,2017,masonry construction,1,110,Brighton & Hove,50.833591,-0.175324,528590,105370
5281,BR1,UK,Greater London,detached single family house,Passive House new build,2016,timber construction,1,208,Bromley,51.4107,0.019428,540542,169899
4842,BS11,UK,South West England,terraced house,low energy new build with PH components,2015,timber construction,1,99,Bristol,51.4987,-2.6785,352998,177969
6414,BS130QG,UK,South West England,apartment house,Passive House new build,2016,timber construction,4,217,Bristol,51.405044,-2.585299,359384,167497
2856,BT19,UK,Northern Ireland,detached single family house,Passive House new build,2013,timber construction,1,185,Bangor,54.6507,-5.65787,164127,534547
6226,BT19 6LX,UK,Northern Ireland,detached single family house,Passive House new build,2015,timber construction,1,205,Belfast,54.670406,-5.61411,167062,536592
6224,BT61 8LG,UK,Northern Ireland,detached single family house,Passive House new build,2017,masonry construction,1,275,Armagh,54.43863,-6.635481,99545,514701
5830,BT66 7SW,UK,Northern Ireland,detached single family house,Passive House new build,2018,masonry construction,1,204,Craigavon,54.436746,-6.313545,120392,513164
3024,BT70,UK,Northern Ireland,terraced house,Passive House new build,2012,timber construction,1,99,Dungannon,54.5145,-6.88165,84182,524214
3877,BT70 1,UK,Northern Ireland,apartment house,Passive House new build,2012,timber construction,1,85,Dungannon,54.4907,-6.80681,88841,521234
5185,BT74 6RW,UK,Northern Ireland,school | campus | university,Passive House new build,2014,timber construction,1,455,Enniskillen,54.329781,-7.619843,34815,507263
4749,BT92,UK,Northern Ireland,detached single family house,EnerPHit Retrofit,2014,masonry construction,1,287,Magheraveely,54.2237,-7.46495,43957,494684
4619,CA10 3JE,UK,North West England,detached single family house,Passive House new build,2015,mixed construction,1,135,Crosby Ravensworth,54.526304,-2.58461,362261,514715
4464,CA4,UK,,detached single family house,Passive House new build,2014,masonry construction,6,137,"Aglionby, Carlisle",54.8567,-2.82074,347409,551631
5239,CB10,UK,East of England,semi detached house,Passive House new build,2016,masonry construction,2,178,Wimbish,52.0293,0.258128,555012,239172
5238,CB10,UK,East of England,semi detached house,Passive House new build,2016,masonry construction,2,159,Wimbish,52.0293,0.258128,555012,239172
5237,CB10,UK,East of England,semi detached house,Passive House new build,2016,masonry construction,2,139,Wimbish,52.0293,0.258128,555012,239172
5236,CB10,UK,East of England,semi detached house,Passive House new build,2016,masonry construction,2,178,Wimbish,52.0293,0.258128,555012,239172
5235,CB10,UK,East of England,terraced house,Passive House new build,2016,masonry construction,3,170,Wimbish,52.0293,0.258128,555012,239172
2352,CB10,UK,East of England,terraced house,Passive House new build,2011,masonry construction,14,891,Saffron Walden,52.0293,0.258128,555012,239172
4739,CB21 4,UK,,terraced house,Passive House new build,2014,masonry construction,2,141,Horseheath,52.1043,0.311614,558416,247628
4740,CM22 7,UK,East of England,terraced house,Passive House new build,2015,masonry construction,11,288,Hatfield Heath,51.8323,0.200352,551712,217143
5042,CM6 3EF,UK,South East England,detached single family house,Passive House new build,2012,timber construction,1,258,Dunmow,51.863528,0.452856,568991,221171
6361,CO2 8YY,UK,East of England,apartment house,Passive House new build,2020,timber construction,6,322,Colchester,51.876237,0.919796,601080,223771
6360,CO2 8YY,UK,East of England,terraced house,Passive House new build,2019,timber construction,12,1200,Colchester,51.876237,0.919796,601080,223771
6273,CO2 8YY,UK,East of England,urban settlement | housing colony,Passive House new build,2019,timber construction,5,650,Colchester,51.876237,0.919796,601080,223771
2343,CT2,UK,South East England,factory | industrial building,Passive House new build,2010,timber construction,1,167,Canterbury,51.2922,1.08166,614958,159296
2518,CT3,UK,South East England,detached single family house,Passive House new build,2014,timber construction,1,118,Canterbury,51.277,1.20733,623792,157981
2229,CV2 1RB,UK,West Midlands,semi detached house,low energy new build with PH components,2011,timber construction,23,71,Coventry,52.435231,-1.470571,436090,282049
4400,CV35,UK,West Midlands,semi detached house,EnerPHit Retrofit,2011,insulated concrete forms,1,65,Warwick,52.232,-1.59535,427733,259388
6029,CV37 8TB,UK,West Midlands,detached single family house,Passive House new build,2019,timber construction,1,162,Upper Quinton,52.114349,-1.742457,417733,246256
4407,CV4,UK,West Midlands,detached single family house,Passive House new build,2013,timber construction,2,75,Coventry,52.3996,-1.55563,430332,278046
6129,DG16 5QB,UK,Scotland,detached single family house,Passive House new build,2016,masonry construction,1,117,Gretna,54.997707,-3.072428,331492,567540
4186,DH6 1,UK,North East England,detached single family house,Passive House new build,2014,timber construction,1,219,Durham,54.7777,-1.48913,432959,542651
5827,DL8 4AJ,UK,Yorkshire and the Humber,detached single family house,Passive House new build,2018,masonry construction,1,123,Preston Under Scar,54.315686,-1.893593,407020,491127
5197,DT2,UK,South West England,detached single family house,Passive House new build,2014,timber construction,1,161,Dorchester,50.7485,-2.44945,368388,94418
5290,DT3,UK,South West England,detached single family house,Passive House new build,2016,timber construction,1,216,,50.6405,-2.46688,367082,82416
4410,DY6,UK,West Midlands,detached single family house,Passive House new build,2011,masonry construction,1,168,Kingswinford,52.4989,-2.16436,388939,289012
5407,E8,UK,Greater London,detached single family house,Passive House new build,2015,timber construction,1,94,London,51.5413,-0.064986,534288,184263
