area,date,num_postcodes,num_changes
AB,1973-08-01,7051,7051
AB,1974-01-01,7172,121
AB,1974-12-01,7176,4
AB,1975-01-01,7178,2
AB,1975-02-01,7181,3
AB,1975-03-01,7195,14
AB,1975-04-01,7254,59
AB,1975-05-01,7257,3
AB,1975-06-01,7261,4
AB,1975-07-01,7269,8
AB,1975-08-01,7275,6
AB,1975-09-01,7299,24
AB,1975-10-01,7303,4
AB,1975-11-01,7305,2
AB,1975-12-01,7308,3
AB,1976-01-01,7347,39
AB,1976-04-01,7366,45
AB,1976-05-01,7367,1
AB,1976-06-01,7373,8
AB,1976-07-01,7407,42
AB,1976-08-01,7408,1
AB,1976-09-01,7429,25
AB,1976-10-01,7432,3
AB,1976-12-01,7462,58
AB,1977-01-01,7463,1
AB,1977-03-01,7516,69
AB,1977-05-01,7511,29
AB,1977-06-01,7510,7
AB,1977-07-01,7544,36
AB,1977-09-01,7543,1
AB,1977-10-01,7574,39
AB,1978-01-01,7602,30
AB,1978-02-01,7603,1
AB,1978-03-01,7604,1
AB,1978-04-01,7605,1
AB,1978-05-01,7609,18
AB,1978-06-01,7610,1
AB,1978-07-01,7636,30
AB,1978-09-01,7637,1
AB,1978-10-01,7650,17
AB,1978-11-01,7651,1
AB,1978-12-01,7667,16
AB,1979-02-01,7668,1
AB,1979-04-01,7673,5
AB,1979-05-01,7721,50
AB,1979-07-01,7723,2
AB,1979-09-01,7725,2
AB,1979-10-01,7726,1
AB,1979-12-01,7748,22
AB,1980-01-01,12842,5094
AB,1980-02-01,12852,10
AB,1980-03-01,12890,56
AB,1980-04-01,12895,7
AB,1980-06-01,12909,14
AB,1980-07-01,12912,3
AB,1980-08-01,12913,1
AB,1980-09-01,12930,21
AB,1980-10-01,12933,3
AB,1980-11-01,12954,43
AB,1980-12-01,12955,1
AB,1981-01-01,12956,9
AB,1981-04-01,12959,3
AB,1981-05-01,12976,49
AB,1981-06-01,12977,1
AB,1981-07-01,12999,24
AB,1981-09-01,13002,3
AB,1982-02-01,13009,7
AB,1982-03-01,13036,31
AB,1982-04-01,13050,20
AB,1982-06-01,13066,18
AB,1982-08-01,13087,21
AB,1982-09-01,13088,1
AB,1982-11-01,13089,1
AB,1982-12-01,13131,42
AB,1983-02-01,13156,31
AB,1983-03-01,13146,10
AB,1983-04-01,13178,32
AB,1983-06-01,13197,19
AB,1983-08-01,13196,1
AB,1983-10-01,13229,33
AB,1983-11-01,13230,1
AB,1984-01-01,13263,35
AB,1984-03-01,13264,1
AB,1984-05-01,13293,31
AB,1984-07-01,13334,41
AB,1984-10-01,13363,29
AB,1985-01-01,13402,39
AB,1985-02-01,13401,1
AB,1985-04-01,13427,30
AB,1985-07-01,13453,28
AB,1985-08-01,13464,11
AB,1985-11-01,13503,41
AB,1986-03-01,13504,1
AB,1986-05-01,13539,35
AB,1986-07-01,13560,21
AB,1986-08-01,13561,1
AB,1986-10-01,13594,35
AB,1986-12-01,13595,1
AB,1987-02-01,13599,6
AB,1987-03-01,13600,1
AB,1987-04-01,13604,4
AB,1987-06-01,13608,4
AB,1987-07-01,13609,1
AB,1987-08-01,13611,2
AB,1987-09-01,13612,1
AB,1987-10-01,13613,1
AB,1988-01-01,13615,2
AB,1988-04-01,13617,2
AB,1988-08-01,13620,5
AB,1988-10-01,13621,1
AB,1988-11-01,13622,7
AB,1989-02-01,13627,5
AB,1989-03-01,13630,3
AB,1989-04-01,13657,45
AB,1989-05-01,13659,2
AB,1989-06-01,13664,5
AB,1989-07-01,13685,21
AB,1989-09-01,13686,1
AB,1989-10-01,13692,6
AB,1989-11-01,13693,1
AB,1990-02-01,13694,1
AB,1990-03-01,13692,10
AB,1990-04-01,13691,3
AB,1990-05-01,13697,6
AB,1990-06-01,13728,39
AB,1990-07-01,13729,1
AB,1990-08-01,13642,15267
AB,1990-09-01,13696,138
AB,1990-10-01,13696,8
AB,1990-11-01,13723,143
AB,1990-12-01,13982,327
AB,1991-02-01,13993,11
AB,1991-03-01,14064,71
AB,1991-07-01,14085,41
AB,1991-08-01,14110,25
AB,1991-10-01,14115,5
AB,1991-11-01,14132,71
AB,1992-01-01,14146,92
AB,1992-02-01,14187,43
AB,1992-05-01,14261,76
AB,1992-06-01,14260,1
AB,1992-07-01,13949,573
AB,1992-08-01,13956,7
AB,1992-09-01,13953,3
AB,1992-10-01,14044,93
AB,1993-02-01,14080,48
AB,1993-03-01,14079,3
AB,1993-05-01,14173,94
AB,1993-06-01,14189,452
AB,1993-07-01,14208,19
AB,1993-08-01,14217,9
AB,1993-09-01,14219,2
AB,1994-02-01,14407,188
AB,1994-04-01,14409,2
AB,1994-05-01,14481,426
AB,1994-06-01,14505,24
AB,1994-07-01,14500,5
AB,1994-09-01,14516,16
AB,1994-10-01,14632,116
AB,1994-12-01,14445,187
AB,1995-02-01,14361,84
AB,1995-12-01,14370,497
AB,1996-06-01,15306,19740
AB,1996-07-01,15301,97
AB,1996-10-01,15302,1
AB,1996-12-01,15324,240
AB,1997-02-01,15325,1
AB,1997-03-01,15326,1
AB,1997-06-01,15367,221
AB,1997-07-01,15377,22
AB,1997-08-01,15366,13
AB,1997-12-01,15456,140
AB,1998-01-01,15454,28
AB,1998-06-01,15448,184
AB,1998-07-01,15434,14
AB,1998-08-01,15435,1
AB,1998-12-01,15461,204
AB,1999-01-01,15460,3
AB,1999-02-01,15461,1
AB,1999-06-01,15502,199
AB,1999-07-01,15501,1
AB,1999-08-01,15503,2
AB,1999-09-01,15504,1
AB,1999-10-01,15505,1
AB,1999-12-01,15540,177
AB,2000-01-01,15539,7
AB,2000-05-01,15541,2
AB,2000-06-01,15570,155
AB,2000-07-01,15528,50
AB,2000-08-01,15531,3
AB,2000-09-01,15488,43
AB,2000-10-01,15483,7
AB,2000-11-01,15467,16
AB,2000-12-01,15563,96
AB,2001-01-01,15589,256
AB,2001-02-01,15554,35
AB,2001-03-01,15550,4
AB,2001-04-01,15544,6
AB,2001-05-01,15538,6
AB,2001-06-01,15634,96
AB,2001-07-01,15622,24
AB,2001-08-01,15613,9
AB,2001-12-01,15750,137
AB,2002-01-01,15847,99
AB,2002-03-01,15734,113
AB,2002-05-01,15747,13
AB,2002-06-01,15851,104
AB,2002-07-01,15872,79
AB,2002-08-01,15879,21
AB,2002-09-01,15892,27
AB,2002-10-01,15896,20
AB,2002-11-01,15903,17
AB,2002-12-01,15951,66
AB,2003-01-01,15953,20
AB,2003-02-01,15964,25
AB,2003-03-01,15979,35
AB,2003-04-01,15981,22
AB,2003-05-01,15986,23
AB,2003-06-01,15948,74
AB,2003-07-01,15951,13
AB,2003-08-01,15947,26
AB,2003-09-01,15955,28
AB,2003-10-01,15948,45
AB,2003-11-01,15953,39
AB,2004-01-01,15978,123
AB,2004-02-01,15980,26
AB,2004-03-01,15992,24
AB,2004-04-01,15993,7
AB,2004-05-01,16002,33
AB,2004-06-01,16015,39
AB,2004-07-01,16027,32
AB,2004-08-01,16036,29
AB,2004-09-01,16043,23
AB,2004-10-01,16053,24
AB,2004-11-01,16073,20
AB,2005-01-01,16099,34
AB,2005-02-01,16134,39
AB,2005-03-01,16239,113
AB,2005-04-01,16247,8
AB,2005-05-01,16255,20
AB,2005-06-01,16263,12
AB,2005-07-01,16246,29
AB,2005-08-01,16243,45
AB,2005-09-01,16197,66
AB,2005-10-01,16204,33
AB,2005-11-01,16193,37
AB,2005-12-01,16199,10
AB,2006-01-01,16190,29
AB,2006-02-01,16185,29
AB,2006-03-01,16192,25
AB,2006-04-01,16187,37
AB,2006-05-01,16188,23
AB,2006-06-01,16191,3
AB,2006-07-01,16213,42
AB,2006-08-01,16231,32
AB,2006-09-01,16237,14
AB,2006-10-01,16239,44
AB,2006-11-01,16255,32
AB,2007-01-01,16280,41
AB,2007-02-01,16322,54
AB,2007-03-01,16329,23
AB,2007-04-01,16336,33
AB,2007-05-01,16311,51
AB,2007-06-01,16323,12
AB,2007-07-01,16343,56
AB,2007-08-01,16347,20
AB,2007-09-01,16361,24
AB,2007-10-01,16350,45
AB,2007-11-01,16352,28
AB,2007-12-01,16359,7
AB,2008-01-01,16365,34
AB,2008-02-01,16374,27
AB,2008-03-01,16385,41
AB,2008-04-01,16394,25
AB,2008-05-01,16394,22
AB,2008-06-01,16395,43
AB,2008-07-01,16403,22
AB,2008-08-01,16412,19
AB,2008-09-01,16419,23
AB,2008-10-01,16434,25
AB,2008-11-01,16447,13
AB,2008-12-01,16446,15
AB,2009-01-01,16439,25
AB,2009-02-01,16439,28
AB,2009-03-01,16438,31
AB,2009-04-01,16425,37
AB,2009-05-01,16432,29
AB,2009-06-01,16442,20
AB,2009-07-01,16450,8
AB,2009-08-01,16441,27
AB,2009-09-01,16441,16
AB,2009-10-01,16451,14
AB,2009-11-01,16461,24
AB,2009-12-01,16461,12
AB,2010-01-01,16461,14
AB,2010-02-01,16468,21
AB,2010-03-01,16469,15
AB,2010-04-01,16470,1
AB,2010-05-01,16462,28
AB,2010-06-01,16473,11
AB,2010-07-01,16483,20
AB,2010-08-01,16485,22
AB,2010-09-01,16491,10
AB,2010-10-01,16497,18
AB,2010-11-01,16514,17
AB,2010-12-01,16508,18
AB,2011-01-01,16521,21
AB,2011-02-01,16523,16
AB,2011-03-01,16526,13
AB,2011-05-01,16530,42
AB,2011-06-01,16529,17
AB,2011-07-01,16527,14
AB,2011-08-01,16535,18
AB,2011-09-01,16539,18
AB,2011-10-01,16537,14
AB,2011-11-01,16535,32
AB,2011-12-01,16529,12
AB,2012-01-01,16531,2
AB,2012-02-01,16532,69
AB,2012-03-01,16528,14
AB,2012-04-01,16536,28
AB,2012-05-01,16542,8
AB,2012-06-01,16545,13
AB,2012-07-01,16549,20
AB,2012-08-01,16570,27
AB,2012-09-01,16562,24
AB,2012-10-01,16562,8
AB,2012-11-01,16569,11
AB,2012-12-01,16571,8
AB,2013-01-01,16574,13
AB,2013-02-01,16573,3
AB,2013-03-01,16570,17
AB,2013-04-01,16574,16
AB,2013-05-01,16579,11
AB,2013-07-01,16591,36
AB,2013-08-01,16599,10
AB,2013-09-01,16602,17
AB,2013-10-01,16609,11
AB,2013-11-01,16609,12
AB,2013-12-01,16613,8
AB,2014-01-01,16615,16
AB,2014-02-01,16623,12
AB,2014-03-01,16625,16
AB,2014-04-01,16626,13
AB,2014-05-01,16635,11
AB,2014-06-01,16648,15
AB,2014-07-01,16656,8
AB,2014-08-01,16657,7
AB,2014-09-01,16653,16
AB,2014-10-01,16662,23
AB,2014-11-01,16670,22
AB,2014-12-01,16674,6
AB,2015-01-01,16677,9
AB,2015-02-01,16681,12
AB,2015-03-01,16690,17
AB,2015-04-01,16693,13
AB,2015-05-01,16701,32
AB,2015-06-01,16715,22
AB,2015-07-01,16728,21
AB,2015-08-01,16735,15
AB,2015-09-01,16745,12
AB,2015-10-01,16746,11
AB,2015-11-01,16755,17
AB,2015-12-01,16763,8
AB,2016-01-01,16776,21
AB,2016-02-01,16781,19
AB,2016-03-01,16792,17
AB,2016-04-01,16796,10
AB,2016-05-01,16811,23
AB,2016-06-01,16812,11
AB,2016-07-01,16817,7
AB,2016-08-01,16820,21
AB,2016-09-01,16823,17
AB,2016-10-01,16830,19
AB,2016-11-01,16837,13
AB,2016-12-01,16841,12
AB,2017-01-01,16845,14
AB,2017-02-01,16851,12
AB,2017-03-01,16868,21
AB,2017-04-01,16870,22
AB,2017-05-01,16866,12
AB,2017-06-01,16875,13
AB,2017-07-01,16884,27
AB,2017-08-01,16894,12
AB,2017-09-01,16899,17
AB,2017-10-01,16911,20
AB,2017-11-01,16921,18
AB,2017-12-01,16934,13
AB,2018-01-01,16938,14
AB,2018-02-01,16944,16
AB,2018-03-01,16946,10
AB,2018-04-01,16949,19
AB,2018-05-01,16948,19
AB,2018-06-01,16947,11
AB,2018-07-01,16959,20
AB,2018-08-01,16967,14
AB,2018-09-01,16974,21
AB,2018-10-01,16985,15
AB,2018-11-01,16977,36
AB,2018-12-01,16981,12
