area,198001,198002,198003,198004,198005,198006,198007,198008,198009,198010,198011,198012,198101,198102,198103,198104,198105,198106,198107,198108,198109,198110,198111,198112,198201,198202,198203,198204,198205,198206,198207,198208,198209,198211,198212,198301,198302,198303,198304,198305,198306,198307,198308,198309,198310,198311,198312,198401,198402,198403,198405,198406,198407,198409,198410,198411,198412,198501,198502,198503,198504,198505,198506,198507,198508,198509,198510,198511,198512,198601,198602,198603,198604,198605,198606,198607,198608,198609,198610,198611,198612,198701,198702,198703,198704,198705,198706,198707,198708,198709,198710,198711,198712,198801,198802,198803,198804,198805,198808,198810,198811,198812,198902,198903,198904,198905,198906,198907,198909,198910,198911,198912,199001,199002,199003,199004,199005,199006,199007,199008,199009,199010,199011,199012,199101,199102,199103,199107,199108,199109,199110,199111,199112,199201,199202,199203,199205,199206,199207,199208,199209,199210,199211,199212,199301,199302,199303,199304,199305,199306,199307,199308,199309,199310,199402,199403,199404,199405,199406,199407,199408,199409,199410,199411,199412,199501,199502,199507,199512,199606,199607,199609,199610,199612,199702,199703,199704,199706,199707,199708,199709,199710,199712,199801,199802,199803,199804,199805,199806,199807,199808,199809,199810,199811,199812,199901,199902,199904,199906,199907,199908,199909,199910,199911,199912,200001,200002,200003,200005,200006,200007,200008,200009,200010,200011,200012,200101,200102,200103,200104,200105,200106,200107,200108,200109,200110,200111,200112,200201,200203,200204,200205,200206,200207,200208,200209,200210,200211,200212,200301,200302,200303,200304,200305,200306,200307,200308,200309,200310,200311,200401,200402,200403,200404,200405,200406,200407,200408,200409,200410,200411,200412,200501,200502,200503,200504,200505,200506,200507,200508,200509,200510,200511,200512,200601,200602,200603,200604,200605,200606,200607,200608,200609,200610,200611,200612,200701,200702,200703,200704,200705,200706,200707,200708,200709,200710,200711,200712,200801,200802,200803,200804,200805,200806,200807,200808,200809,200810,200811,200812,200901,200902,200903,200904,200905,200906,200907,200908,200909,200910,200911,200912,201001,201002,201003,201004,201005,201006,201007,201008,201009,201010,201011,201012,201101,201102,201103,201105,201106,201107,201108,201109,201110,201111,201112,201201,201202,201203,201204,201205,201206,201207,201208,201209,201210,201211,201212,201301,201302,201303,201304,201305,201307,201308,201309,201310,201311,201312,201401,201402,201403,201404,201405,201406,201407,201408,201409,201410,201411,201412,201501,201502,201503,201504,201505,201506,201507,201508,201509,201510,201511,201512,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202004,202005,202006,202007
AB,12842,12852,12890,12895,12895,12909,12912,12913,12930,12933,12954,12955,12956,12956,12956,12959,12976,12977,12999,12999,13002,13002,13002,13002,13002,13009,13036,13050,13050,13066,13066,13087,13088,13089,13131,13131,13156,13146,13178,13178,13197,13197,13196,13196,13229,13230,13230,13263,13263,13264,13293,13293,13334,13334,13363,13363,13363,13402,13401,13401,13427,13427,13427,13453,13464,13464,13464,13503,13503,13503,13503,13504,13504,13539,13539,13560,13561,13561,13594,13594,13595,13595,13599,13600,13604,13604,13608,13609,13611,13612,13613,13613,13613,13615,13615,13615,13617,13617,13620,13621,13622,13622,13627,13630,13657,13659,13664,13685,13686,13692,13693,13693,13693,13694,13692,13691,13697,13728,13729,13642,13696,13696,13723,13982,13982,13993,14064,14085,14110,14110,14115,14132,14132,14146,14187,14187,14261,14260,13949,13956,13953,14044,14044,14044,14044,14080,14079,14079,14173,14189,14208,14217,14219,14219,14407,14407,14409,14481,14505,14500,14500,14516,14632,14632,14445,14445,14361,14361,14370,15306,15301,15301,15302,15324,15325,15326,15326,15367,15377,15366,15366,15366,15456,15454,15454,15454,15454,15454,15448,15434,15435,15435,15435,15435,15461,15460,15461,15461,15502,15501,15503,15504,15505,15505,15540,15539,15539,15539,15541,15570,15528,15531,15488,15483,15467,15563,15589,15554,15550,15544,15538,15634,15622,15613,15613,15613,15613,15750,15847,15734,15734,15747,15851,15872,15879,15892,15896,15903,15951,15953,15964,15979,15981,15986,15948,15951,15947,15955,15948,15953,15978,15980,15992,15993,16002,16015,16027,16036,16043,16053,16073,16073,16099,16134,16239,16247,16255,16263,16246,16243,16197,16204,16193,16199,16190,16185,16192,16187,16188,16191,16213,16231,16237,16239,16255,16255,16280,16322,16329,16336,16311,16323,16343,16347,16361,16350,16352,16359,16365,16374,16385,16394,16394,16395,16403,16412,16419,16434,16447,16446,16439,16439,16438,16425,16432,16442,16450,16441,16441,16451,16461,16461,16461,16468,16469,16470,16462,16473,16483,16485,16491,16497,16514,16508,16521,16523,16526,16530,16529,16527,16535,16539,16537,16535,16529,16531,16532,16528,16536,16542,16545,16549,16570,16562,16562,16569,16571,16574,16573,16570,16574,16579,16591,16599,16602,16609,16609,16613,16615,16623,16625,16626,16635,16648,16656,16657,16653,16662,16670,16674,16677,16681,16690,16693,16701,16715,16728,16735,16745,16746,16755,16763,16776,16781,16792,16796,16811,16812,16817,16820,16823,16830,16837,16841,16845,16851,16868,16870,16866,16875,16884,16894,16899,16911,16921,16934,16938,16944,16946,16949,16948,16947,16959,16967,16974,16985,16977,16981,16993,16996,17002,17012,17027,17039,17045,17048,17057,17061,17069,17076,17083,17089,17095,17093,17090,17090
AL,6164,6164,6164,6164,6164,6164,6164,6164,6164,6164,6164,6164,6164,6164,6164,6164,6164,6223,6223,6223,6249,6249,6249,6245,6245,6245,6251,6251,6251,6251,6251,6251,6251,6251,6251,6309,6309,6309,6309,6309,6309,6384,6384,6384,6384,6384,6383,6383,6414,6414,6414,6414,6414,6414,6414,6414,6414,6414,6414,6414,6524,6524,6524,6524,6524,6524,6542,6542,6535,6535,6535,6535,6564,6564,6564,6594,6594,6594,6594,6594,6590,6590,6590,6590,6658,6658,6658,6658,6658,6658,6684,6684,6684,6684,6684,6727,6727,6727,6727,6727,6727,6724,6724,6724,6724,6724,6724,6724,6724,6724,6724,6724,6724,6849,6849,6849,6849,6849,6881,6881,6881,6881,6881,6824,6890,6890,6890,6890,6890,6926,6926,6926,6904,6960,6960,6960,6960,6960,6960,7122,7122,7122,7122,7089,7156,7156,7156,7156,7156,7156,7156,7222,7222,7222,7222,7222,7222,7176,7176,7176,7176,7176,7176,7176,7257,7276,7276,7280,7335,7410,7410,7410,7410,7488,7489,7489,7489,7546,7540,7532,7532,7533,7597,7597,7597,7597,7597,7597,7672,7672,7672,7674,7676,7676,7639,7640,7641,7641,7650,7652,7652,7652,7652,7652,7620,7623,7623,7624,7625,7627,7625,7625,7593,7591,7588,7700,7655,7651,7638,7616,7606,7710,7674,7654,7646,7630,7614,7710,7695,7661,7649,7656,7758,7767,7785,7796,7810,7801,7809,7815,7829,7831,7839,7848,7852,7856,7864,7880,7871,7866,7890,7854,7870,7874,7891,7903,7916,7850,7856,7863,7875,7875,7935,7916,7931,7936,7932,7938,7933,7927,7926,7932,7936,7935,7912,7779,7782,7766,7756,7771,7776,7783,7787,7796,7808,7808,7812,7814,7813,7816,7810,7821,7828,7816,7813,7817,7811,7815,7823,7820,7810,7813,7810,7756,7761,7747,7739,7754,7766,7743,7731,7740,7742,7738,7741,7747,7755,7747,7746,7749,7735,7742,7744,7751,7752,7759,7752,7756,7751,7739,7745,7751,7765,7750,7753,7750,7754,7748,7738,7729,7733,7728,7728,7731,7735,7735,7732,7729,7720,7718,7705,7702,7698,7692,7690,7689,7691,7686,7683,7690,7691,7687,7673,7670,7665,7665,7669,7668,7665,7663,7660,7663,7659,7659,7664,7658,7657,7652,7652,7649,7645,7657,7652,7650,7651,7655,7643,7647,7648,7656,7659,7663,7663,7667,7666,7664,7645,7643,7644,7643,7641,7649,7651,7655,7668,7668,7674,7681,7685,7686,7691,7693,7693,7696,7695,7701,7704,7705,7714,7718,7726,7730,7734,7733,7734,7729,7717,7730,7733,7731,7734,7737,7740,7741,7746,7746,7751,7748,7754,7758,7760,7762,7760,7763,7767,7772
B,35905,35905,35905,35905,35905,35905,35905,35905,35905,35905,35905,35905,35905,35905,35905,35905,35905,36333,36333,36333,36454,36454,36454,36098,36098,36098,36262,36262,36262,36262,36262,36262,36262,36262,36195,36292,36292,36389,36389,36389,36389,36479,36479,36479,36479,36479,36380,36380,36534,36534,36534,36534,36534,36534,36660,36660,36548,36548,36548,36548,36784,36784,36784,36784,36784,36784,36825,36825,36771,36771,36771,36771,36868,36868,36868,36968,36968,36968,36968,36968,36783,36783,36783,36783,37178,37178,37178,37178,37178,37178,37178,37178,37178,37178,37178,37295,37295,37295,37295,37295,37295,37248,37248,37248,37248,37248,37248,37248,37248,37248,37248,37248,37248,37465,37465,37465,37465,37465,37699,37699,37699,37699,37699,37315,37381,37381,37381,37381,37381,37952,37952,37952,37722,38482,38482,38482,38482,38482,38482,38794,38794,38794,38794,38581,38878,38878,38878,38878,38878,38878,38878,39547,39547,39547,39547,39547,39547,39212,39212,39212,39212,39212,39212,39212,39362,39282,39282,39274,39474,39482,39482,39482,39482,39661,39665,39666,39667,39875,39861,39862,39864,39864,40124,40127,40127,40131,40132,40133,40336,40336,40339,40344,40346,40347,40696,40697,40701,40703,40688,40689,40696,40701,40702,40703,40792,40796,40797,40798,40800,41070,40989,40990,40666,40602,40528,41137,41052,40980,40961,40944,40925,41334,41309,41281,41254,41210,41152,41752,41608,41122,40938,40945,41384,41452,41524,41593,41645,41701,41680,41685,41747,41798,41804,41793,41793,41737,41706,41654,41395,41444,41507,41538,41565,41568,41630,41612,41629,41626,41665,41715,41770,41770,41886,42070,42111,42123,42150,42078,41999,42036,42037,42053,42085,42109,42034,41606,41375,41234,41214,41272,41285,41317,41321,41337,41328,41331,41386,41404,41450,41478,41477,41533,41532,41565,41534,41551,41560,41643,41617,41643,41662,41683,41663,41382,41379,41385,41390,41413,41476,41429,41386,41356,41334,41319,41284,41289,41343,41255,41263,41315,41267,41265,41281,41288,41295,41347,41303,41347,41356,41316,41314,41383,41425,41380,41418,41434,41456,41381,41380,41315,41256,41247,41236,41164,41193,41193,41189,41168,41140,41140,41119,41113,41102,41078,41075,41071,41062,41065,41061,41073,41064,41038,41033,41027,41030,41017,41009,41022,40994,40973,40976,40988,40993,41003,41016,41024,41009,41003,40996,41007,41011,41037,41053,41058,41071,41059,41073,41012,41024,41049,41066,41057,41065,41086,41114,41141,41158,41181,41189,41173,41191,41204,41214,41230,41297,41303,41315,41328,41330,41341,41321,41336,41347,41372,41388,41470,41482,41482,41489,41507,41528,41536,41547,41570,41584,41345,41125,41150,41188,41194,41167,41185,41182,41188,41205,41227,41255,41281,41309,41342,41360,41370,41391,41408,41422,41444
BA,11636,11636,11636,11636,11636,11636,11636,11636,11636,11636,11636,11636,11636,11636,11636,11636,11636,11793,11793,11793,11816,11816,11816,11852,11852,11852,11874,11874,11874,11874,11874,11874,11874,11874,11871,11914,11914,11962,11962,11962,11962,12015,12015,12015,12015,12015,12006,12006,12054,12054,12054,12054,12054,12054,12112,12112,12104,12104,12104,12104,12187,12187,12187,12187,12187,12187,12239,12239,12235,12235,12235,12235,12267,12267,12267,12305,12305,12305,12305,12305,12297,12297,12297,12297,12413,12413,12413,12413,12413,12413,12441,12441,12441,12441,12441,12477,12477,12477,12477,12477,12477,12474,12474,12474,12474,12474,12474,12474,12474,12474,12474,12474,12474,12712,12712,12712,12712,12712,12786,12786,12786,12786,12786,12674,12746,12746,12746,12746,12746,12860,12860,12860,12785,12868,12868,12868,12868,12868,12868,12950,12950,12950,12950,12929,13081,13081,13081,13081,13081,13081,13081,13183,13183,13183,13183,13183,13183,13157,13157,13157,13157,13157,13157,13157,13191,13196,13196,13238,13300,13312,13312,13312,13312,13348,13348,13349,13351,13492,13481,13475,13475,13476,13664,13664,13665,13666,13666,13667,13777,13777,13778,13779,13779,13779,13819,13820,13822,13823,13911,13911,13913,13913,13913,13923,13897,13898,13900,13900,13900,13953,13928,13928,13864,13838,13829,14006,13551,13543,13541,13524,13518,14164,14159,14143,14074,14042,14019,14175,14165,14139,14131,14126,14272,14278,14289,14300,14293,14305,14320,14334,14337,14347,14372,14384,14391,14405,14423,14430,14428,14436,14416,14404,14435,14411,14438,14450,14467,14463,14472,14487,14507,14507,14546,14644,14667,14687,14713,14733,14718,14733,14731,14755,14760,14761,14739,14667,14651,14594,14587,14623,14641,14576,14579,14588,14592,14592,14607,14697,14690,14699,14704,14715,14732,14752,14758,14768,14765,14774,14781,14798,14804,14813,14816,14734,14735,14741,14741,14741,14759,14758,14751,14752,14758,14746,14746,14750,14764,14724,14725,14746,14745,14754,14749,14764,14764,14775,14764,14775,14778,14747,14752,14747,14771,14768,14781,14785,14792,14791,14792,14799,14792,14797,14792,14802,14801,14801,14807,14808,14800,14800,14793,14793,14799,14805,14802,14797,14799,14798,14795,14789,14789,14785,14793,14801,14798,14792,14794,14794,14788,14777,14771,14772,14778,14783,14787,14789,14795,14795,14797,14795,14798,14804,14809,14807,14813,14817,14820,14817,14824,14830,14835,14845,14851,14857,14868,14866,14873,14876,14878,14869,14877,14891,14904,14903,14901,14900,14915,14919,14925,14935,14933,14943,14950,14957,14966,14978,14984,14992,15002,15002,15012,15019,15029,15030,15019,15026,15007,15020,15030,15035,15042,15052,15059,15059,15066,15075,15078,15086,15100,15109,15122,15133,15135,15137,15142,15142
BB,11427,11427,11427,11427,11427,11427,11427,11427,11427,11427,11427,11427,11427,11427,11427,11427,11427,11562,11562,11562,11600,11600,11600,11440,11440,11440,11482,11482,11482,11482,11482,11482,11482,11482,11469,11521,11521,11548,11548,11548,11548,11618,11618,11618,11618,11618,11592,11592,11635,11635,11635,11635,11635,11635,11675,11675,11645,11645,11645,11645,11697,11697,11697,11697,11697,11697,11710,11710,11699,11699,11699,11699,11753,11753,11753,11793,11793,11793,11793,11793,11758,11758,11758,11758,11795,11795,11795,11795,11795,11795,11821,11821,11821,11821,11821,11869,11869,11869,11869,11869,11869,11851,11851,11851,11851,11851,11851,11851,11851,11851,11851,11851,11851,12022,12022,12022,12022,12022,12082,12082,12082,12082,12082,11977,12048,12048,12048,12048,12048,12145,12145,12145,12019,12127,12127,12127,12127,12127,12127,12192,12192,12192,12192,12150,12259,12259,12259,12259,12259,12259,12259,12359,12359,12359,12359,12359,12359,12154,12154,12154,12154,12154,12154,12154,12191,12262,12262,12333,12375,12415,12415,12416,12416,12536,12539,12539,12542,12598,12589,12040,12040,12040,12704,12704,12705,12705,12705,12705,12750,12750,12750,12752,12752,12752,12784,12786,12788,12788,12734,12734,12734,12734,12735,12735,12763,12763,12763,12763,12763,12764,12748,12751,12690,12668,12663,12807,12783,12781,12777,12777,12752,12816,12740,12727,12707,12700,12679,12768,12754,12720,12717,12725,12817,12839,12841,12848,12863,12874,12875,12887,12890,12901,12874,12855,12860,12871,12878,12889,12890,12927,12947,12956,12961,12955,12957,12954,12945,12951,12970,12974,12995,12995,13025,13152,13170,13191,13208,13216,13212,13227,13237,13248,13248,13246,13201,13117,13076,13048,13028,13042,13050,13056,13063,13056,13063,13064,13088,13099,13097,13095,13100,13113,13109,13112,13140,13139,13143,13151,13147,13153,13132,13139,13157,13093,13094,13095,13091,13087,13106,13089,13081,13074,13059,13054,13048,13029,13042,13014,13019,13021,13022,13022,13025,13025,13042,13054,13042,13055,13056,13041,13040,13035,13057,13040,13044,13045,13047,13037,13037,13041,13045,13038,13033,13029,13029,13029,13018,13018,13005,13003,12997,12992,12993,12990,12987,12987,12986,12985,12992,12997,12993,12984,12984,12983,12982,12988,12986,12989,12991,12986,12984,12983,12989,12991,12992,13001,12999,12997,12998,12997,13003,13035,13029,13032,12999,13002,13006,13013,13021,13025,13031,13037,13038,13046,13052,13057,13050,13057,13058,13061,13061,13062,13061,13069,13073,13074,13083,13077,13072,13074,13081,13093,13092,13094,13098,13110,13117,13115,13122,13133,13138,13143,13147,13151,13129,13129,13100,13107,13118,13120,13126,13134,13140,13150,13152,13151,13157,13158,13170,13178,13179,13191,13200,13203,13207,13212
BD,14696,14696,14696,14696,14696,14696,14696,14696,14696,14696,14696,14696,14696,14696,14696,14696,14696,14939,14939,14939,14978,14978,14978,14741,14741,14741,14778,14778,14778,14778,14778,14778,14778,14778,14751,14802,14802,14875,14875,14875,14875,14934,14934,14934,14934,14934,14893,14893,14947,14947,14947,14947,14947,14947,15031,15031,14974,14974,14974,14974,15106,15106,15106,15106,15106,15106,15242,15242,15205,15205,15205,15205,15325,15325,15325,15401,15401,15401,15401,15401,15343,15343,15343,15343,15505,15505,15505,15505,15505,15505,15554,15554,15554,15554,15554,15614,15614,15614,15614,15614,15614,15561,15561,15561,15561,15561,15561,15561,15561,15561,15561,15561,15561,15738,15738,15738,15738,15738,15928,15928,15928,15928,15928,15815,15949,15949,15949,15949,15949,16041,16041,16041,15803,15880,15880,15880,15880,15880,15880,15985,15985,15985,15985,15938,16033,16033,16033,16033,16033,16033,16033,16132,16132,16132,16132,16132,16132,16151,16151,16151,16151,16151,16151,16151,16246,16173,16173,16287,16278,16263,16263,16263,16263,16324,16331,16331,16332,16379,16298,16284,16284,16284,16357,16357,16357,16358,16360,16360,16339,16339,16339,16339,16339,16340,16340,16346,16348,16349,16337,16339,16339,16340,16341,16342,16370,16374,16374,16375,16376,16419,16394,16394,16312,16296,16268,16451,16391,16380,16358,16337,16323,16467,16447,16440,16377,16369,16355,16489,16462,16439,16422,16417,16545,16549,16552,16575,16598,16574,16565,16570,16587,16608,16624,16636,16633,16645,16651,16669,16671,16676,16704,16713,16716,16699,16683,16669,16665,16672,16697,16730,16769,16770,16817,16887,16905,16910,16926,16942,16919,16933,16933,16945,16962,16970,16950,16861,16836,16793,16775,16792,16792,16766,16764,16787,16786,16786,16822,16828,16825,16827,16846,16860,16881,16880,16885,16907,16918,16927,16929,16936,16948,16957,16958,16851,16842,16843,16850,16850,16867,16864,16852,16847,16841,16828,16831,16834,16856,16852,16857,16859,16861,16866,16863,16859,16865,16878,16867,16886,16877,16855,16849,16845,16858,16841,16843,16855,16857,16835,16844,16835,16825,16827,16836,16847,16849,16849,16873,16872,16871,16876,16851,16842,16841,16843,16840,16841,16837,16839,16842,16836,16836,16828,16817,16815,16816,16817,16818,16820,16822,16823,16824,16828,16828,16831,16846,16858,16858,16857,16860,16868,16863,16838,16842,16841,16825,16822,16822,16827,16835,16840,16846,16852,16853,16857,16864,16866,16853,16858,16859,16864,16867,16878,16877,16878,16880,16892,16890,16894,16885,16899,16903,16915,16913,16924,16922,16935,16948,16952,16955,16963,16968,16975,16988,17000,16969,16978,16892,16900,16905,16908,16906,16920,16925,16934,16940,16949,16959,16960,16960,16964,16971,16975,16977,16985,16993,16999
BH,12273,12273,12273,12273,12273,12273,12273,12273,12273,12273,12273,12273,12273,12273,12273,12273,12273,12471,12471,12471,12482,12482,12482,12401,12401,12401,12507,12507,12507,12507,12507,12507,12507,12507,12500,12583,12583,12632,12632,12632,12632,12710,12710,12710,12710,12710,12686,12686,12741,12741,12741,12741,12741,12741,12765,12765,12760,12760,12760,12760,12844,12844,12844,12844,12844,12844,12952,12952,12921,12921,12921,12921,13055,13055,13055,13176,13176,13176,13176,13176,13129,13129,13129,13129,13311,13311,13311,13311,13311,13311,13323,13323,13323,13323,13323,13371,13371,13371,13371,13371,13371,13350,13350,13350,13350,13350,13350,13350,13350,13350,13350,13350,13350,13562,13562,13562,13562,13562,13599,13599,13599,13599,13599,13452,13513,13513,13513,13513,13513,13915,13915,13915,13597,13779,13779,13779,13779,13779,13779,13906,13906,13906,13906,13870,13963,13963,13963,13963,13963,13963,13963,14051,14051,14051,14051,14051,14051,14073,14073,14073,14073,14073,14073,14073,14147,14178,14178,14297,14384,14450,14450,14450,14450,14379,14379,14379,14380,14432,14403,14401,14401,14402,14468,14469,14469,14469,14470,14470,14592,14592,14593,14596,14597,14597,14617,14617,14620,14623,14727,14728,14728,14728,14728,14728,14796,14796,14796,14796,14814,14817,14786,14786,14674,14644,14631,14850,14820,14813,14810,14794,14788,14947,14865,14859,14846,14781,14753,14935,14930,14895,14885,14895,15077,15090,15105,15119,15116,15134,15150,15158,15175,15186,15197,15214,15205,15219,15235,15238,15206,15200,15204,15184,14973,14994,15042,15065,15078,15072,15088,15104,15132,15132,15263,15282,15299,15316,15322,15333,15300,15306,15305,15329,15337,15351,15335,15259,15208,15174,15172,15184,15194,15200,15214,15211,15199,15200,15209,15220,15207,15211,15213,15227,15249,15259,15261,15262,15271,15299,15309,15317,15328,15335,15340,15210,15210,15225,15247,15250,15275,15273,15263,15265,15258,15237,15228,15225,15250,15228,15228,15244,15244,15251,15255,15258,15256,15273,15256,15268,15274,15254,15254,15249,15282,15275,15281,15279,15294,15277,15270,15265,15261,15255,15242,15241,15249,15249,15240,15227,15220,15228,15216,15201,15196,15193,15189,15137,15125,15109,15106,15109,15102,15093,15093,15092,15092,15084,15087,15088,15086,15087,15084,15080,15080,15077,15070,15068,15063,15062,15063,15065,15061,15061,15063,15065,15076,15068,15069,15053,15056,15051,15053,15051,15053,15061,15071,15068,15068,15073,15069,15061,15058,15070,15065,15072,15077,15083,15088,15092,15100,15107,15111,15120,15126,15133,15130,15136,15134,15144,15145,15148,15150,15151,15150,15163,15125,15137,15104,15112,15119,15124,15111,15115,15112,15122,15121,15126,15141,15153,15168,15174,15184,15195,15161,15154,15121,15139
BL,8626,8626,8626,8626,8626,8626,8626,8626,8626,8626,8626,8626,8626,8626,8626,8626,8626,8723,8723,8723,8756,8756,8756,8706,8706,8706,8722,8722,8722,8722,8722,8722,8722,8722,8709,8767,8767,8808,8808,8808,8808,8850,8850,8850,8850,8850,8834,8834,8874,8874,8874,8874,8874,8874,8903,8903,8893,8893,8893,8893,8930,8930,8930,8930,8930,8930,8968,8968,8955,8955,8955,8955,9000,9000,9000,9044,9044,9044,9044,9044,9015,9015,9015,9015,9072,9072,9072,9072,9072,9072,9099,9099,9099,9099,9099,9145,9145,9145,9145,9145,9145,9134,9134,9134,9134,9134,9134,9134,9134,9134,9134,9134,9134,9286,9286,9286,9286,9286,9335,9335,9335,9335,9335,9251,9335,9335,9335,9335,9335,9379,9379,9379,9330,9388,9388,9388,9388,9388,9388,9441,9441,9441,9441,9420,9497,9497,9497,9497,9497,9497,9497,9577,9577,9577,9577,9577,9577,9511,9511,9511,9511,9511,9511,9511,9564,9570,9570,9627,9663,9668,9668,9668,9668,9732,9733,9736,9736,9772,9769,9763,9763,9764,9831,9831,9831,9831,9831,9831,9873,9873,9873,9873,9873,9873,9897,9897,9899,9899,9940,9941,9941,9941,9941,9941,10003,10005,10007,10010,10012,10033,10026,10027,9952,9925,9888,10017,9993,9990,9990,9988,9963,10053,9999,9990,9971,9960,9946,10039,10032,10014,10002,10005,10092,10108,10116,10121,10123,10135,10144,10150,10163,10170,10165,10146,10154,10159,10167,10178,10171,10161,10187,10193,10196,10204,10206,10206,10203,10213,10228,10230,10251,10251,10277,10328,10348,10359,10366,10386,10368,10384,10393,10406,10417,10421,10421,10375,10365,10257,10261,10276,10267,10271,10274,10288,10287,10287,10303,10305,10307,10301,10309,10323,10324,10329,10346,10347,10348,10354,10364,10368,10376,10376,10375,10301,10310,10314,10321,10320,10328,10325,10320,10313,10310,10315,10321,10334,10352,10332,10331,10338,10335,10347,10346,10354,10357,10370,10352,10361,10357,10354,10351,10361,10374,10365,10367,10361,10369,10352,10355,10352,10344,10336,10336,10337,10339,10340,10337,10334,10329,10330,10322,10318,10317,10321,10320,10321,10324,10318,10312,10306,10301,10300,10297,10290,10286,10280,10278,10280,10272,10271,10272,10262,10247,10244,10245,10246,10243,10248,10245,10245,10243,10240,10241,10236,10229,10230,10231,10229,10228,10227,10233,10234,10234,10237,10244,10246,10236,10240,10245,10249,10250,10250,10251,10251,10258,10261,10264,10265,10270,10274,10282,10285,10284,10288,10292,10299,10301,10299,10302,10303,10303,10304,10313,10313,10270,10276,10247,10250,10257,10261,10261,10261,10263,10263,10269,10279,10281,10287,10288,10291,10298,10301,10284,10288,10291,10292
BN,17867,17867,17867,17867,17867,17867,17867,17867,17867,17867,17867,17867,17867,17867,17867,17867,17867,18036,18036,18036,18044,18044,18044,18022,18022,18022,18058,18058,18058,18058,18058,18058,18058,18058,18056,18109,18109,18148,18148,18148,18148,18311,18311,18311,18311,18311,18286,18286,18353,18353,18353,18353,18353,18353,18439,18439,18432,18432,18432,18432,18552,18552,18552,18552,18552,18552,18624,18624,18620,18620,18620,18620,18689,18689,18689,18766,18766,18766,18766,18766,18733,18733,18733,18733,18877,18877,18877,18877,18877,18877,18931,18931,18931,18931,18931,19062,19062,19062,19062,19062,19062,19009,19009,19009,19009,19009,19009,19009,19009,19009,19009,19009,19009,19232,19232,19232,19232,19232,21198,21198,21198,21198,21198,19324,19442,19442,19442,19442,19442,19581,19581,19581,19433,19601,19601,19601,19601,19601,19601,19772,19772,19772,19772,19630,19882,19882,19882,19882,19882,19882,19882,20056,20056,20056,20056,20056,20056,20046,20046,20046,20046,20046,20046,20046,20111,20105,20105,20235,20340,20440,20440,20440,20440,20508,20513,20513,20513,20643,20609,20580,20584,20584,20736,20737,20738,20739,20739,20739,20907,20907,20908,20908,20910,20912,21134,21135,21135,21137,21208,21208,21209,21210,21212,21213,21413,21414,21419,21421,21422,21540,21467,21471,21081,21021,20979,21347,21288,21242,21207,21181,21166,21171,21154,21124,21091,21084,21078,21752,21731,21681,21672,21719,21991,22002,22046,22086,22118,22165,22176,22156,22201,22222,22186,22183,22172,22160,22166,22173,22177,22221,22270,22146,22061,22069,22109,22101,22100,22134,22167,22233,22283,22283,22379,22476,22517,22529,22532,22565,22548,22554,22558,22576,22586,22594,22541,22224,22083,22037,22052,22086,22095,22082,22045,22045,22053,22054,22106,22123,22126,22148,22152,22195,22193,22200,22200,22210,22198,22225,22247,22263,22269,22264,22268,22034,22035,21981,21984,22006,22051,21986,21966,21948,21945,21916,21920,21931,21968,21933,21941,21933,21932,21923,21915,21920,21929,21959,21929,21961,21960,21919,21933,21912,21952,21908,21926,21948,21953,21909,21894,21880,21869,21859,21854,21844,21852,21852,21813,21812,21786,21786,21757,21741,21740,21832,21823,21817,21840,21826,21829,21823,21811,21801,21791,21795,21806,21788,21791,21800,21795,21780,21770,21767,21772,21799,21787,21784,21785,21793,21796,21791,21786,21786,21792,21790,21792,21799,21807,21819,21825,21825,21823,21830,21829,21843,21850,21850,21861,21877,21888,21909,21914,21913,21923,21931,21954,21952,21947,21940,21944,21947,21957,21964,21976,21982,21984,22000,22000,22003,22017,22013,22006,22027,22040,22053,21915,21913,21802,21811,21856,21853,21864,21865,21864,21881,21880,21885,21892,21913,21926,21934,21934,21936,21947,21941,21944,21962
