country,value,date,fuel_type
AUSTRIA,26945,201410,All
BELGIUM,38115,201410,All
BULGARIA,1682,201410,All
CROATIA,2304,201410,All
CYPRUS,707,201410,All
CZECH REPUBLIC,17791,201410,All
DENMARK,16370,201410,All
ESTONIA,2049,201410,All
FINLAND,8836,201410,All
FRANCE,160149,201410,All
GERMANY,275320,201410,All
GREECE,6003,201410,All
HUNGARY,6120,201410,All
IRELAND,2036,201410,All
ITALY,121736,201410,All
LATVIA,1207,201410,All
LITHUANIA,1252,201410,All
LUXEMBURG,4522,201410,All
NETHERLANDS,35424,201410,All
POLAND,28690,201410,All
PORTUGAL,11780,201410,All
ROMANIA,7344,201410,All
SLOVAKIA,7282,201410,All
SLOVENIA,5134,201410,All
SPAIN,76073,201410,All
SWEDEN,28252,201410,All
UNITED KINGDOM,179714,201410,All
ICELAND,551,201410,All
NORWAY,12963,201410,All
SWITZERLAND,26277,201410,All
AUSTRIA,21619,201411,All
BELGIUM,29739,201411,All
BULGARIA,1595,201411,All
CROATIA,1884,201411,All
CYPRUS,671,201411,All
CZECH REPUBLIC,16365,201411,All
DENMARK,15155,201411,All
ESTONIA,1953,201411,All
FINLAND,7220,201411,All
FRANCE,135067,201411,All
GERMANY,250082,201411,All
GREECE,4983,201411,All
HUNGARY,5901,201411,All
IRELAND,782,201411,All
ITALY,107965,201411,All
LATVIA,1006,201411,All
LITHUANIA,1158,201411,All
LUXEMBURG,3488,201411,All
NETHERLANDS,32507,201411,All
POLAND,24322,201411,All
PORTUGAL,11686,201411,All
ROMANIA,5669,201411,All
SLOVAKIA,5484,201411,All
SLOVENIA,4220,201411,All
SPAIN,65122,201411,All
SWEDEN,25916,201411,All
UNITED KINGDOM,172327,201411,All
ICELAND,413,201411,All
NORWAY,11486,201411,All
SWITZERLAND,23672,201411,All
AUSTRIA,17391,201412,All
BELGIUM,26990,201412,All
BULGARIA,1932,201412,All
CROATIA,1768,201412,All
CYPRUS,555,201412,All
CZECH REPUBLIC,16688,201412,All
DENMARK,15420,201412,All
ESTONIA,985,201412,All
FINLAND,7091,201412,All
FRANCE,163354,201412,All
GERMANY,229700,201412,All
GREECE,6387,201412,All
HUNGARY,6079,201412,All
IRELAND,350,201412,All
ITALY,91518,201412,All
LATVIA,1000,201412,All
LITHUANIA,1022,201412,All
LUXEMBURG,3636,201412,All
NETHERLANDS,36424,201412,All
POLAND,29165,201412,All
PORTUGAL,11905,201412,All
ROMANIA,5595,201412,All
SLOVAKIA,6219,201412,All
SLOVENIA,3373,201412,All
SPAIN,73440,201412,All
SWEDEN,27144,201412,All
UNITED KINGDOM,166198,201412,All
ICELAND,403,201412,All
NORWAY,12649,201412,All
SWITZERLAND,32857,201412,All
AUSTRIA,23427,201501,All
BELGIUM,47324,201501,All
BULGARIA,1419,201501,All
CROATIA,2376,201501,All
CYPRUS,846,201501,All
CZECH REPUBLIC,15727,201501,All
DENMARK,16023,201501,All
ESTONIA,1624,201501,All
FINLAND,10267,201501,All
FRANCE,133170,201501,All
GERMANY,211337,201501,All
GREECE,5848,201501,All
HUNGARY,4872,201501,All
IRELAND,29898,201501,All
ITALY,131385,201501,All
LATVIA,1148,201501,All
LITHUANIA,1422,201501,All
LUXEMBURG,3205,201501,All
NETHERLANDS,47946,201501,All
POLAND,29673,201501,All
PORTUGAL,11852,201501,All
ROMANIA,4978,201501,All
SLOVAKIA,4572,201501,All
SLOVENIA,5139,201501,All
SPAIN,68118,201501,All
SWEDEN,20408,201501,All
UNITED KINGDOM,164856,201501,All
ICELAND,680,201501,All
NORWAY,10523,201501,All
SWITZERLAND,18400,201501,All
AUSTRIA,20641,201502,All
BELGIUM,44504,201502,All
BULGARIA,1481,201502,All
CROATIA,2174,201502,All
CYPRUS,625,201502,All
CZECH REPUBLIC,16383,201502,All
DENMARK,13595,201502,All
ESTONIA,1223,201502,All
FINLAND,7989,201502,All
FRANCE,147584,201502,All
GERMANY,223254,201502,All
GREECE,4894,201502,All
HUNGARY,5895,201502,All
IRELAND,15803,201502,All
ITALY,134697,201502,All
LATVIA,829,201502,All
LITHUANIA,1067,201502,All
LUXEMBURG,3783,201502,All
NETHERLANDS,33944,201502,All
POLAND,28396,201502,All
PORTUGAL,14299,201502,All
ROMANIA,4116,201502,All
SLOVAKIA,5304,201502,All
SLOVENIA,4550,201502,All
SPAIN,86717,201502,All
SWEDEN,23735,201502,All
UNITED KINGDOM,76958,201502,All
ICELAND,632,201502,All
NORWAY,10685,201502,All
SWITZERLAND,22388,201502,All
AUSTRIA,31086.0,201503,All
BELGIUM,55245.0,201503,All
BULGARIA,2108.0,201503,All
CROATIA,3397.0,201503,All
CYPRUS,963.0,201503,All
CZECH REPUBLIC,21155.0,201503,All
DENMARK,19618.0,201503,All
ESTONIA,1946.0,201503,All
FINLAND,11097.0,201503,All
FRANCE,196565.0,201503,All
GERMANY,323039.0,201503,All
GREECE,6529.0,201503,All
HUNGARY,6284.0,201503,All
IRELAND,19003.0,201503,All
