title,author,genre,pages,age group,format,stars,date started,date finished,dnf,publish year,re-read?,fiction/non-fiction,,gender,country,continent,race,language read in,in translation?,new to me?
Men Explain Things to Me,Rebecca Solnit,feminism,124,adult,hardback,5,28/12/2018,01/01/2019,,2014,no,non-fiction,,female,usa,north america,white,english,no,yes
Chemistry: A Very Short Introduction,Peter Atkins,science,94,adult,paperback,3,19/01/2019,19/1/19,,2015,no,non-fiction,,male,uk,europe,white,english,no,yes
Feminists Don’t Wear Pink,Scarlett Curtis,feminism,363,ya,hardback,4,21/01/2019,22/01/2019,,2018,no,non-fiction,,female,uk,europe,white,english,no,yes
Wild Swans,Jung Chang,biography,688,adult,paperback,5,30/12/2018,25/01/2019,,1991,no,non-fiction,,female,china,asia,poc,english,no,yes
Crazy Rich Asians,Kevin Kwan,contemporary,403,adult,paperback,3,25/01/2019,26/01/2019,,2013,no,fiction,,male,usa,north america,poc,english,no,yes
milk and honey,Rupi Kaur,poetry,204,ya,paperback,3,26/1/19,27/01/2019,,2015,yes,non-fiction,,female,canada,north america,poc,english,no,no
Turtles All The Way Down,John Green,contemporary,288,ya,hardback,5,28/1/19,28/01/2019,,2017,no,fiction,,male,usa,north america,white,english,no,no
The Cell: A Very Short Introduction,Terence Allen & Graham Cowling,science,145,adult,paperback,3,26/1/19,3/2/19,,2011,no,non-fiction,,male,uk,europe,white,english,no,yes
Acceptance,Jeff Vanderneer,science fiction,341,adult,paperback,3,29/1/19,05/02/2019,,2014,no,fiction,,male,usa,north america,white,english,no,no
The Seven Deaths of Evelyn Hardcastle,Stuart Turton,mystery,505,ya,paperback,3,05/02/2019,12/02/2019,,2018,no,fiction,,male,uk,europe,white,english,no,yes
The Sun Is Also A Star,Nichola Yoon,contemporary,350,ya,paperback,2,12/02/2019,13/02/2019,,2016,no,fiction,,female,usa,north america,poc,english,no,yes
Citizen,Claudia Rankine,poetry,160,adult,paperback,3,13/02/2019,14/02/2019,,2014,no,non-fiction,,female,usa,north america,poc,english,no,yes
Rosalind Franklin,Brenda Maddox,biography,328,adult,paperback,5,14/2/19,18/2/19,,2002,no,non-fiction,,female,usa,north america,white,english,no,yes
Pompeii,Robert Harris,historical fiction,278,adult,hardback,4,19/02/2019,02/03/2019,,2003,no,fiction,,male,uk,europe,white,english,no,yes
Asking For It,Louise O’Neill,contemporary,340,ya,hardback,4,02/03/2019,04/03/2019,,2015,no,fiction,,female,ireland,europe,white,english,no,yes
Oxygen,Nick Lane,science,344,adult,paperback,4,04/03/2019,16/03/2019,,2002,no,non-fiction,,male,uk,europe,white,english,no,yes
Slouching Towards Bethlehem,Joan Didion,essays,238,adult,paperback,3,18/03/2019,21/03/2019,,1968,no,non-fiction,,female,usa,north america,white,english,no,yes
The Power ,Naomi Alderman,dystopian,338,adult,paperback,4,22/03/2019,27/03/2019,,2016,no,fiction,,female,uk,europe,white,english,no,yes
On The Frontline with the Women Who Fight Back,Stacey Dooley,feminism,304,adult,paperback,4,28/3/19,30/03/2019,,2018,no,non-fiction,,female,uk,europe,white,english,no,yes
Bad Feminist,Roxane Gay,feminism,320,adult,paperback,5,31/03/2019,05/04/2019,,2014,no,non-fiction,,female,usa,north america,poc,english,no,yes
The Poet X,Elizabeth Acevedo,poetry,361,ya,paperback,5,05/04/2019,05/04/2019,,2018,no,fiction,,female,usa,north america,poc,english,no,yes
The Hate U Give,Angie Thomas,contemporary,447,ya,ebook,5,06/04/2019,11/04/2019,,2017,yes,fiction,,female,usa,north america,poc,english,no,no
Napoleons Buttons,Penny Le Coureur & Jay Burreson,science,350,adult,paperback,2,12/04/2019,19/04/2019,,2004,no,non-fiction,,multiple authors,canada,north america,white,english,no,yes
Misogynation,Laura Bates,feminism,297,adult,paperback,4,20/4/19,26/04/2019,,2018,no,non-fiction,,female,uk,europe,white,english,no,no
Gene Machine,Venki Ramakrishnan,science,272,adult,hardback,4,26/04/2019,30/04/2019,,2018,no,non-fiction,,male,india,asia,poc,english,no,yes
Inferior,Angela Saini,science,280,adult,paperback,3,02/05/2019,05/05/2019,,2017,no,non-fiction,,female,uk,europe,poc,english,no,yes
We Should All Be Feminists,Chimamanda Ngozi Adiche,feminism,48,adult,paperback,5,06/05/2019,06/05/2019,,2014,yes,non-fiction,,female,nigeria,africa,poc,english,no,no
Scythe,Neal Schusterman,dystopian,435,ya,paperback,4,06/05/2019,09/05/2019,,2016,yes,fiction,,male,usa,north america,white,english,no,no
"Power, Sex, Suicide",Nick Lane,science,354,adult,paperback,4,10/05/2019,23/05/2019,,2005,no,non-fiction,,male,uk,europe,white,english,no,no
Letters To The Future,Laura Bates & Owen Sheers,feminism,48,adult,paperback,4,26/05/2019,26/05/2019,,2018,no,non-fiction,,multiple authors,uk,europe,white,english,no,no
The Thing Around Your Neck,Chimamanda Ngozi Adiche,short stories,218,adult,paperback,3,23/05/2019,27/05/2019,,2009,no,fiction,,female,nigeria,africa,poc,english,no,no
One Of Us Is Lying,Karen M. McManus,mystery,358,ya,paperback,4,04/06/2019,06/06/2019,,2017,no,fiction,,female,usa,north america,white,english,no,yes
Dear Ijawele,Chimamanda Ngozi Adiche,essays,66,adult,paperback,5,08/06/2019,08/06/2019,,2016,no,non-fiction,,female,nigeria,africa,poc,english,no,no
Why I’m No Longer Talking To White People About Race,Reni Eddo-Lodge,non-fiction,261,adult,paperback,4,08/06/2019,23/06/2019,,2017,no,non-fiction,,female,uk,europe,poc,english,no,yes
A Brief History Of Everyone Who Ever Lived,Adam Rutherford,science,432,adult,paperback,3,26/06/2019,03/07/2019,,2017,no,non-fiction,,male,uk,europe,poc,english,no,yes
Life on the Edge,Jim Al-Khalili and Johnjoe McFadden,science,464,adult,paperback,4,04/07/2019,12/07/2019,,2015,no,non-fiction,,male,uk,europe,-,english,no,yes
When Dimple Met Rishi,Sandhya Menon,contemporary,320,ya,ebook,4,23/07/2019,23/07/2019,,2017,no,fiction,,female,india,asia,poc,english,no,yes
Truly Devious,Maureen Johnson,mystery,432,ya,ebook,4,29/07/2019,31/07/2019,,2018,no,fiction,,female,usa,north america,white,english,no,yes
Brit(ish),Afua Hirsch,non-fiction,367,adult,ebook,4,03/08/2019,04/08/2019,,2018,no,non-fiction,,female,uk,europe,poc,english,no,yes
On the Come Up,Angie Thomas,contemporary,464,ya,ebook,5,04/08/2019,06/08/2019,,2019,no,fiction,,female,usa,north america,poc,english,no,no
The Vanishing Stair,Maureen Johnson,mystery,376,ya,ebook,3,06/08/2019,07/08/2019,,2019,no,fiction,,female,usa,north america,white,english,no,no
Invisible Women,Caroline Criado Perez,feminism,432,adult,ebook,4,29/07/2019,10/08/2019,,2019,no,non-fiction,,female,uk,europe,white,english,no,yes
How to Build a Girl,Caitlin Moran,contemporary,343,ya,paperback,3,20/08/2019,23/08/2019,,2015,no,fiction,,female,uk,europe,white,english,no,no
This Is Not A Drill,-,essays,208,adult,paperback,4,24/08/2019,25/08/2019,,2019,no,non-fiction,,multiple authors,uk,europe,-,english,no,yes
How to Be Famous,Caitlin Moran,contemporary,336,ya,paperback,3,31/08/2019,12/09/2019,,2018,no,fiction,,female,uk,europe,white,english,no,no
The Guilty Feminist,Deborah Frances-White,feminism,332,adult,paperback,3,15/09/2019,20/09/2019,,2019,no,non-fiction,,female,australia,oceania,white,english,no,yes
Purple Hibiscus,Chimamanda Ngozi Adiche,historical fiction,336,adult,paperback,4,21/09/2019,27/09/2019,,2003,no,fiction,,female,nigeria,africa,poc,english,no,no
The Kite Runner,Khaled Hosseni,historical fiction,343,adult,paperback,5,02/10/2019,16/10/2019,,2003,no,fiction,,male,afghanistan,asia,poc,english,no,no
With the Fire on High,Elizabeth Acevedo,contemporary,390,ya,paperback,5,19/10/2019,19/10/2019,,2019,no,fiction,,female,usa,north america,poc,english,no,no
Circe,Madeline Miller,fantasy,337,adult,paperback,4,21/10/2019,24/10/2019,,2018,no,fiction,,female,usa,north america,white,english,no,yes
The Toll,Neal Schusterman,dystopian,631,ya,paperback,4,01/11/2019,05/11/2019,,2019,no,fiction,,male,usa,north america,white,english,no,no
To Kill A Mockingbird,Harper Lee,classic,285,adult,paperback,5,06/11/2019,12/11/2019,,1960,yes,fiction,,female,usa,north america,white,english,no,no
The Girl With Seven Names,Hyeonseo Lee,biography,295,adult,paperback,4,14/11/2019,16/11/2019,,2015,no,non-fiction,,female,north korea,asia,poc,english,no,yes
The Handmaid’s Tale,Margaret Atwood,dystopian,324,adult,paperback,5,17/11/2019,20/11/2019,,1996,yes,fiction,,female,canada,north america,white,english,no,no
"Girl, Woman, Other",Bernardine Evaristo,contemporary,464,adult,ebook,4,20/11/2019,27/11/2019,,2019,no,fiction,,female,uk,europe,poc,english,no,yes
Half of a Yellow Sun,Chimamanda Ngozi Adiche,historical fiction,433,adult,paperback,4,28/11/2019,03/12/2019,,2006,no,fiction,,female,nigeria,africa,poc,english,no,no
An American Marriage,Tayari Jones,contemporary,306,adult,paperback,3,04/12/2019,14/12/2019,,2018,no,fiction,,female,usa,north america,poc,english,no,yes
The Immortal Life of Henrietta Lacks,Rebecca Skloot,biography,431,adult,paperback,3,15/12/2019,18/12/2019,,2011,no,non-fiction,,female,usa,north america,white,english,no,yes
Squirrel goes Skating,Alison Uttley,picture book,46,children,hardback,5,25/12/2019,25/12/2019,,1934,no,fiction,,female,uk,europe,white,english,no,yes
Bloody Brilliant Women,Cathy Newman,feminism,384,adult,hardback,5,23/12/2019,25/12/2019,,2018,no,non-fiction,,female,uk,europe,white,english,no,yes
The Blind Assassin,Margaret Atwood,historical fiction,637,adult,paperback,4,25/12/2019,28/12/2019,,2000,no,fiction,,female,canada,north america,white,english,no,no
It’s Not About The Burqa,-,essays,256,adult,hardback,4,29/12/2019,31/12/2019,,2019,no,non-fiction,,multiple authors,-,-,-,english,no,yes
